id,question,OptionA,OptionB,OptionC,OptionD,OptionE,correct_answer,explanation,difficulty
231,(4 [16] 8)  (5 [25] 10)  (12 [?] 5),28,29,30,40,31,C,The rule is: multiply the numbers and divide by 2. Check Example 1: (4 * 8) ÷ 2 = 16. Check Example 2: (5 * 10) ÷ 2 = 25. Apply to Question: (12 * 5) ÷ 2 = 30.,2
232,(7 [22] 8)  (9 [24] 6)  (3 [?] 8),19,15,14,16,17,C,The rule is: double the left number and add the right number. Check Example 1: (7 * 2) + 8 = 22. Check Example 2: (9 * 2) + 6 = 24. Apply to Question: (3 * 2) + 8 = 14.,2
233,(11 [22] 4)  (3 [6] 4)  (8 [?] 9),35,37,36,41,46,C,The rule is: multiply the numbers and divide by 2. Check Example 1: (11 * 4) ÷ 2 = 22. Check Example 2: (3 * 4) ÷ 2 = 6. Apply to Question: (8 * 9) ÷ 2 = 36.,2
234,(4 [9] 3)  (7 [12] 3)  (19 [?] 5),26,21,25,36,31,A,The rule is: add the numbers then add 2. Check Example 1: (4 + 3) + 2 = 9. Check Example 2: (7 + 3) + 2 = 12. Apply to Question: (19 + 5) + 2 = 26.,2
235,(25 [14] 3)  (28 [19] 10)  (28 [?] 30),30,19,31,29,27,D,The rule is: add the numbers and divide by 2. Check Example 1: (25 + 3) ÷ 2 = 14. Check Example 2: (28 + 10) ÷ 2 = 19. Apply to Question: (28 + 30) ÷ 2 = 29.,2
236,(6 [21] 9)  (13 [32] 6)  (13 [?] 14),50,40,30,41,42,B,The rule is: double the left number and add the right number. Check Example 1: (6 * 2) + 9 = 21. Check Example 2: (13 * 2) + 6 = 32. Apply to Question: (13 * 2) + 14 = 40.,2
237,(10 [30] 6)  (7 [42] 12)  (12 [?] 5),30,35,20,25,28,A,The rule is: multiply the numbers and divide by 2. Check Example 1: (10 * 6) ÷ 2 = 30. Check Example 2: (7 * 12) ÷ 2 = 42. Apply to Question: (12 * 5) ÷ 2 = 30.,2
238,(10 [60] 12)  (3 [9] 6)  (5 [?] 4),15,9,10,8,11,C,The rule is: multiply the numbers and divide by 2. Check Example 1: (10 * 12) ÷ 2 = 60. Check Example 2: (3 * 6) ÷ 2 = 9. Apply to Question: (5 * 4) ÷ 2 = 10.,2
239,(23 [25] 27)  (23 [18] 13)  (11 [?] 21),14,17,16,18,21,C,The rule is: add the numbers and divide by 2. Check Example 1: (23 + 27) ÷ 2 = 25. Check Example 2: (23 + 13) ÷ 2 = 18. Apply to Question: (11 + 21) ÷ 2 = 16.,2
240,(5 [22] 15)  (12 [20] 6)  (10 [?] 18),34,30,20,36,32,B,The rule is: add the numbers then add 2. Check Example 1: (5 + 15) + 2 = 22. Check Example 2: (12 + 6) + 2 = 20. Apply to Question: (10 + 18) + 2 = 30.,2
241,(17 [11] 5)  (14 [11] 8)  (4 [?] 6),3,8,5,15,4,C,The rule is: add the numbers and divide by 2. Check Example 1: (17 + 5) ÷ 2 = 11. Check Example 2: (14 + 8) ÷ 2 = 11. Apply to Question: (4 + 6) ÷ 2 = 5.,2
242,(7 [15] 23)  (27 [20] 13)  (9 [?] 13),14,12,13,21,11,E,The rule is: add the numbers and divide by 2. Check Example 1: (7 + 23) ÷ 2 = 15. Check Example 2: (27 + 13) ÷ 2 = 20. Apply to Question: (9 + 13) ÷ 2 = 11.,2
243,(10 [28] 8)  (8 [22] 6)  (6 [?] 4),16,6,14,19,18,A,The rule is: double the left number and add the right number. Check Example 1: (10 * 2) + 8 = 28. Check Example 2: (8 * 2) + 6 = 22. Apply to Question: (6 * 2) + 4 = 16.,2
244,(4 [20] 12)  (11 [26] 4)  (14 [?] 4),32,36,42,33,27,A,The rule is: double the left number and add the right number. Check Example 1: (4 * 2) + 12 = 20. Check Example 2: (11 * 2) + 4 = 26. Apply to Question: (14 * 2) + 4 = 32.,2
245,(11 [66] 12)  (7 [28] 8)  (2 [?] 9),10,19,8,9,6,D,The rule is: multiply the numbers and divide by 2. Check Example 1: (11 * 12) ÷ 2 = 66. Check Example 2: (7 * 8) ÷ 2 = 28. Apply to Question: (2 * 9) ÷ 2 = 9.,2
246,(6 [25] 13)  (14 [33] 5)  (2 [?] 4),8,9,18,10,6,A,The rule is: double the left number and add the right number. Check Example 1: (6 * 2) + 13 = 25. Check Example 2: (14 * 2) + 5 = 33. Apply to Question: (2 * 2) + 4 = 8.,2
247,(9 [31] 20)  (3 [9] 4)  (2 [?] 18),21,22,27,20,23,B,The rule is: add the numbers then add 2. Check Example 1: (9 + 20) + 2 = 31. Check Example 2: (3 + 4) + 2 = 9. Apply to Question: (2 + 18) + 2 = 22.,2
248,(14 [32] 4)  (4 [20] 12)  (2 [?] 14),15,18,28,20,16,B,The rule is: double the left number and add the right number. Check Example 1: (14 * 2) + 4 = 32. Check Example 2: (4 * 2) + 12 = 20. Apply to Question: (2 * 2) + 14 = 18.,2
249,(3 [7] 2)  (18 [40] 20)  (19 [?] 17),36,48,38,40,44,C,The rule is: add the numbers then add 2. Check Example 1: (3 + 2) + 2 = 7. Check Example 2: (18 + 20) + 2 = 40. Apply to Question: (19 + 17) + 2 = 38.,2
250,(7 [35] 10)  (4 [12] 6)  (12 [?] 6),39,36,34,37,38,B,The rule is: multiply the numbers and divide by 2. Check Example 1: (7 * 10) ÷ 2 = 35. Check Example 2: (4 * 6) ÷ 2 = 12. Apply to Question: (12 * 6) ÷ 2 = 36.,2
251,(4 [26] 20)  (11 [20] 7)  (6 [?] 7),25,14,17,12,15,E,The rule is: add the numbers then add 2. Check Example 1: (4 + 20) + 2 = 26. Check Example 2: (11 + 7) + 2 = 20. Apply to Question: (6 + 7) + 2 = 15.,2
252,(24 [16] 8)  (2 [4] 6)  (23 [?] 5),16,19,24,12,14,E,The rule is: add the numbers and divide by 2. Check Example 1: (24 + 8) ÷ 2 = 16. Check Example 2: (2 + 6) ÷ 2 = 4. Apply to Question: (23 + 5) ÷ 2 = 14.,2
253,(8 [19] 30)  (2 [11] 20)  (5 [?] 13),7,9,8,14,19,B,The rule is: add the numbers and divide by 2. Check Example 1: (8 + 30) ÷ 2 = 19. Check Example 2: (2 + 20) ÷ 2 = 11. Apply to Question: (5 + 13) ÷ 2 = 9.,2
254,(7 [22] 8)  (8 [30] 14)  (15 [?] 14),48,49,50,43,44,E,The rule is: double the left number and add the right number. Check Example 1: (7 * 2) + 8 = 22. Check Example 2: (8 * 2) + 14 = 30. Apply to Question: (15 * 2) + 14 = 44.,2
255,(4 [14] 8)  (4 [23] 17)  (10 [?] 14),24,27,26,36,28,C,The rule is: add the numbers then add 2. Check Example 1: (4 + 8) + 2 = 14. Check Example 2: (4 + 17) + 2 = 23. Apply to Question: (10 + 14) + 2 = 26.,2
256,(11 [20] 29)  (28 [18] 8)  (14 [?] 8),9,16,11,10,13,C,The rule is: add the numbers and divide by 2. Check Example 1: (11 + 29) ÷ 2 = 20. Check Example 2: (28 + 8) ÷ 2 = 18. Apply to Question: (14 + 8) ÷ 2 = 11.,2
257,(10 [24] 4)  (11 [35] 13)  (8 [?] 9),24,25,21,27,22,B,The rule is: double the left number and add the right number. Check Example 1: (10 * 2) + 4 = 24. Check Example 2: (11 * 2) + 13 = 35. Apply to Question: (8 * 2) + 9 = 25.,2
258,(11 [30] 8)  (9 [20] 2)  (15 [?] 12),38,42,52,44,43,B,The rule is: double the left number and add the right number. Check Example 1: (11 * 2) + 8 = 30. Check Example 2: (9 * 2) + 2 = 20. Apply to Question: (15 * 2) + 12 = 42.,2
259,(7 [6] 5)  (23 [20] 17)  (9 [?] 23),14,17,16,15,18,C,The rule is: add the numbers and divide by 2. Check Example 1: (7 + 5) ÷ 2 = 6. Check Example 2: (23 + 17) ÷ 2 = 20. Apply to Question: (9 + 23) ÷ 2 = 16.,2
260,(22 [25] 28)  (9 [7] 5)  (3 [?] 13),7,13,8,18,6,C,The rule is: add the numbers and divide by 2. Check Example 1: (22 + 28) ÷ 2 = 25. Check Example 2: (9 + 5) ÷ 2 = 7. Apply to Question: (3 + 13) ÷ 2 = 8.,2
261,(8 [36] 9)  (5 [15] 6)  (7 [?] 6),25,21,20,31,23,B,The rule is: multiply the numbers and divide by 2. Check Example 1: (8 * 9) ÷ 2 = 36. Check Example 2: (5 * 6) ÷ 2 = 15. Apply to Question: (7 * 6) ÷ 2 = 21.,2
262,(15 [30] 13)  (10 [18] 6)  (10 [?] 18),20,27,30,32,26,C,The rule is: add the numbers then add 2. Check Example 1: (15 + 13) + 2 = 30. Check Example 2: (10 + 6) + 2 = 18. Apply to Question: (10 + 18) + 2 = 30.,2
263,(19 [37] 16)  (14 [27] 11)  (3 [?] 5),10,11,8,9,12,A,The rule is: add the numbers then add 2. Check Example 1: (19 + 16) + 2 = 37. Check Example 2: (14 + 11) + 2 = 27. Apply to Question: (3 + 5) + 2 = 10.,2
264,(7 [14] 4)  (2 [9] 9)  (6 [?] 10),30,29,28,25,35,A,The rule is: multiply the numbers and divide by 2. Check Example 1: (7 * 4) ÷ 2 = 14. Check Example 2: (2 * 9) ÷ 2 = 9. Apply to Question: (6 * 10) ÷ 2 = 30.,2
265,(6 [33] 11)  (6 [36] 12)  (3 [?] 12),21,17,16,28,18,E,The rule is: multiply the numbers and divide by 2. Check Example 1: (6 * 11) ÷ 2 = 33. Check Example 2: (6 * 12) ÷ 2 = 36. Apply to Question: (3 * 12) ÷ 2 = 18.,2
266,(11 [66] 12)  (10 [40] 8)  (6 [?] 8),25,34,29,24,28,D,The rule is: multiply the numbers and divide by 2. Check Example 1: (11 * 12) ÷ 2 = 66. Check Example 2: (10 * 8) ÷ 2 = 40. Apply to Question: (6 * 8) ÷ 2 = 24.,2
267,(10 [32] 12)  (12 [26] 2)  (13 [?] 4),34,30,29,26,40,B,The rule is: double the left number and add the right number. Check Example 1: (10 * 2) + 12 = 32. Check Example 2: (12 * 2) + 2 = 26. Apply to Question: (13 * 2) + 4 = 30.,2
268,(24 [16] 8)  (22 [26] 30)  (6 [?] 8),10,12,7,17,8,C,The rule is: add the numbers and divide by 2. Check Example 1: (24 + 8) ÷ 2 = 16. Check Example 2: (22 + 30) ÷ 2 = 26. Apply to Question: (6 + 8) ÷ 2 = 7.,2
269,(3 [16] 10)  (5 [16] 6)  (13 [?] 5),32,37,31,33,36,C,The rule is: double the left number and add the right number. Check Example 1: (3 * 2) + 10 = 16. Check Example 2: (5 * 2) + 6 = 16. Apply to Question: (13 * 2) + 5 = 31.,2
270,(13 [41] 15)  (4 [15] 7)  (11 [?] 9),33,31,32,30,36,B,The rule is: double the left number and add the right number. Check Example 1: (13 * 2) + 15 = 41. Check Example 2: (4 * 2) + 7 = 15. Apply to Question: (11 * 2) + 9 = 31.,2
271,(14 [22] 6)  (11 [22] 9)  (7 [?] 13),27,23,19,22,26,D,The rule is: add the numbers then add 2. Check Example 1: (14 + 6) + 2 = 22. Check Example 2: (11 + 9) + 2 = 22. Apply to Question: (7 + 13) + 2 = 22.,2
272,(5 [14] 23)  (12 [19] 26)  (24 [?] 22),33,21,25,23,24,D,The rule is: add the numbers and divide by 2. Check Example 1: (5 + 23) ÷ 2 = 14. Check Example 2: (12 + 26) ÷ 2 = 19. Apply to Question: (24 + 22) ÷ 2 = 23.,2
273,(11 [33] 6)  (4 [22] 11)  (12 [?] 7),42,47,45,49,43,A,The rule is: multiply the numbers and divide by 2. Check Example 1: (11 * 6) ÷ 2 = 33. Check Example 2: (4 * 11) ÷ 2 = 22. Apply to Question: (12 * 7) ÷ 2 = 42.,2
274,(10 [30] 6)  (5 [20] 8)  (12 [?] 8),38,53,48,58,57,C,The rule is: multiply the numbers and divide by 2. Check Example 1: (10 * 6) ÷ 2 = 30. Check Example 2: (5 * 8) ÷ 2 = 20. Apply to Question: (12 * 8) ÷ 2 = 48.,2
275,(4 [16] 10)  (4 [24] 18)  (19 [?] 16),37,36,39,43,42,A,The rule is: add the numbers then add 2. Check Example 1: (4 + 10) + 2 = 16. Check Example 2: (4 + 18) + 2 = 24. Apply to Question: (19 + 16) + 2 = 37.,2
276,(14 [23] 7)  (10 [32] 20)  (2 [?] 5),9,10,6,12,7,A,The rule is: add the numbers then add 2. Check Example 1: (14 + 7) + 2 = 23. Check Example 2: (10 + 20) + 2 = 32. Apply to Question: (2 + 5) + 2 = 9.,2
277,(8 [40] 10)  (2 [4] 4)  (12 [?] 2),10,13,9,2,12,E,The rule is: multiply the numbers and divide by 2. Check Example 1: (8 * 10) ÷ 2 = 40. Check Example 2: (2 * 4) ÷ 2 = 4. Apply to Question: (12 * 2) ÷ 2 = 12.,2
278,(26 [22] 18)  (20 [15] 10)  (24 [?] 26),25,24,28,26,15,A,The rule is: add the numbers and divide by 2. Check Example 1: (26 + 18) ÷ 2 = 22. Check Example 2: (20 + 10) ÷ 2 = 15. Apply to Question: (24 + 26) ÷ 2 = 25.,2
279,(9 [18] 7)  (16 [25] 7)  (17 [?] 10),34,29,31,30,27,B,The rule is: add the numbers then add 2. Check Example 1: (9 + 7) + 2 = 18. Check Example 2: (16 + 7) + 2 = 25. Apply to Question: (17 + 10) + 2 = 29.,2
280,(5 [20] 8)  (12 [42] 7)  (12 [?] 8),51,50,45,56,48,E,The rule is: multiply the numbers and divide by 2. Check Example 1: (5 * 8) ÷ 2 = 20. Check Example 2: (12 * 7) ÷ 2 = 42. Apply to Question: (12 * 8) ÷ 2 = 48.,2
281,(22 [25] 28)  (12 [21] 30)  (16 [?] 12),24,16,14,4,12,C,The rule is: add the numbers and divide by 2. Check Example 1: (22 + 28) ÷ 2 = 25. Check Example 2: (12 + 30) ÷ 2 = 21. Apply to Question: (16 + 12) ÷ 2 = 14.,2
282,(6 [4] 2)  (23 [17] 11)  (17 [?] 13),18,14,25,13,15,E,The rule is: add the numbers and divide by 2. Check Example 1: (6 + 2) ÷ 2 = 4. Check Example 2: (23 + 11) ÷ 2 = 17. Apply to Question: (17 + 13) ÷ 2 = 15.,2
283,(15 [17] 19)  (5 [4] 3)  (19 [?] 7),15,13,12,10,14,B,The rule is: add the numbers and divide by 2. Check Example 1: (15 + 19) ÷ 2 = 17. Check Example 2: (5 + 3) ÷ 2 = 4. Apply to Question: (19 + 7) ÷ 2 = 13.,2
284,(2 [14] 26)  (8 [18] 28)  (21 [?] 13),14,17,22,20,19,B,The rule is: add the numbers and divide by 2. Check Example 1: (2 + 26) ÷ 2 = 14. Check Example 2: (8 + 28) ÷ 2 = 18. Apply to Question: (21 + 13) ÷ 2 = 17.,2
285,(3 [15] 10)  (8 [20] 5)  (10 [?] 12),61,50,60,58,62,C,The rule is: multiply the numbers and divide by 2. Check Example 1: (3 * 10) ÷ 2 = 15. Check Example 2: (8 * 5) ÷ 2 = 20. Apply to Question: (10 * 12) ÷ 2 = 60.,2
286,(6 [33] 11)  (5 [10] 4)  (9 [?] 2),12,7,6,9,10,D,The rule is: multiply the numbers and divide by 2. Check Example 1: (6 * 11) ÷ 2 = 33. Check Example 2: (5 * 4) ÷ 2 = 10. Apply to Question: (9 * 2) ÷ 2 = 9.,2
287,(2 [7] 12)  (4 [17] 30)  (20 [?] 18),18,19,22,9,17,B,The rule is: add the numbers and divide by 2. Check Example 1: (2 + 12) ÷ 2 = 7. Check Example 2: (4 + 30) ÷ 2 = 17. Apply to Question: (20 + 18) ÷ 2 = 19.,2
288,(4 [16] 8)  (9 [27] 6)  (4 [?] 10),16,21,10,23,20,E,The rule is: multiply the numbers and divide by 2. Check Example 1: (4 * 8) ÷ 2 = 16. Check Example 2: (9 * 6) ÷ 2 = 27. Apply to Question: (4 * 10) ÷ 2 = 20.,2
289,(15 [21] 27)  (8 [6] 4)  (10 [?] 4),9,8,6,7,4,D,The rule is: add the numbers and divide by 2. Check Example 1: (15 + 27) ÷ 2 = 21. Check Example 2: (8 + 4) ÷ 2 = 6. Apply to Question: (10 + 4) ÷ 2 = 7.,2
290,(14 [18] 2)  (13 [29] 14)  (13 [?] 5),16,20,17,22,25,B,The rule is: add the numbers then add 2. Check Example 1: (14 + 2) + 2 = 18. Check Example 2: (13 + 14) + 2 = 29. Apply to Question: (13 + 5) + 2 = 20.,2
291,(8 [12] 3)  (8 [36] 9)  (10 [?] 8),39,44,38,40,42,D,The rule is: multiply the numbers and divide by 2. Check Example 1: (8 * 3) ÷ 2 = 12. Check Example 2: (8 * 9) ÷ 2 = 36. Apply to Question: (10 * 8) ÷ 2 = 40.,2
292,(11 [55] 10)  (10 [15] 3)  (2 [?] 10),11,20,10,9,8,C,The rule is: multiply the numbers and divide by 2. Check Example 1: (11 * 10) ÷ 2 = 55. Check Example 2: (10 * 3) ÷ 2 = 15. Apply to Question: (2 * 10) ÷ 2 = 10.,2
293,(18 [34] 14)  (3 [19] 14)  (5 [?] 6),16,15,13,14,23,C,The rule is: add the numbers then add 2. Check Example 1: (18 + 14) + 2 = 34. Check Example 2: (3 + 14) + 2 = 19. Apply to Question: (5 + 6) + 2 = 13.,2
294,(3 [8] 2)  (2 [9] 5)  (13 [?] 9),39,37,35,34,36,C,The rule is: double the left number and add the right number. Check Example 1: (3 * 2) + 2 = 8. Check Example 2: (2 * 2) + 5 = 9. Apply to Question: (13 * 2) + 9 = 35.,2
295,(12 [24] 4)  (3 [9] 6)  (3 [?] 12),18,17,19,20,23,A,The rule is: multiply the numbers and divide by 2. Check Example 1: (12 * 4) ÷ 2 = 24. Check Example 2: (3 * 6) ÷ 2 = 9. Apply to Question: (3 * 12) ÷ 2 = 18.,2
296,(12 [24] 4)  (2 [12] 12)  (9 [?] 10),55,45,49,50,41,B,The rule is: multiply the numbers and divide by 2. Check Example 1: (12 * 4) ÷ 2 = 24. Check Example 2: (2 * 12) ÷ 2 = 12. Apply to Question: (9 * 10) ÷ 2 = 45.,2
297,(13 [29] 3)  (13 [37] 11)  (14 [?] 9),38,36,47,37,34,D,The rule is: double the left number and add the right number. Check Example 1: (13 * 2) + 3 = 29. Check Example 2: (13 * 2) + 11 = 37. Apply to Question: (14 * 2) + 9 = 37.,2
298,(2 [4] 4)  (2 [8] 8)  (8 [?] 2),11,6,10,8,9,D,The rule is: multiply the numbers and divide by 2. Check Example 1: (2 * 4) ÷ 2 = 4. Check Example 2: (2 * 8) ÷ 2 = 8. Apply to Question: (8 * 2) ÷ 2 = 8.,2
299,(12 [32] 8)  (8 [25] 9)  (2 [?] 7),10,16,13,9,11,E,The rule is: double the left number and add the right number. Check Example 1: (12 * 2) + 8 = 32. Check Example 2: (8 * 2) + 9 = 25. Apply to Question: (2 * 2) + 7 = 11.,2
300,(2 [9] 9)  (3 [6] 4)  (10 [?] 7),40,31,35,34,25,C,The rule is: multiply the numbers and divide by 2. Check Example 1: (2 * 9) ÷ 2 = 9. Check Example 2: (3 * 4) ÷ 2 = 6. Apply to Question: (10 * 7) ÷ 2 = 35.,2
301,(15 [44] 7)  (15 [48] 9)  (4 [?] 13),29,34,33,36,39,B,The rule is: add the numbers and multiply the result by 2. Check Example 1: (15 + 7) * 2 = 44. Check Example 2: (15 + 9) * 2 = 48. Apply to Question: (4 + 13) * 2 = 34.,3
302,(5 [11] 4)  (5 [5] 10)  (8 [?] 10),14,16,4,17,11,A,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 5) - 4 = 11. Check Example 2: (3 * 5) - 10 = 5. Apply to Question: (3 * 8) - 10 = 14.,3
303,(8 [20] 4)  (5 [5] 10)  (10 [?] 9),26,21,23,11,24,B,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 8) - 4 = 20. Check Example 2: (3 * 5) - 10 = 5. Apply to Question: (3 * 10) - 9 = 21.,3
304,(7 [39] 6)  (10 [47] 5)  (3 [?] 7),20,15,19,17,18,E,The rule is: multiply the numbers and subtract 3. Check Example 1: (7 * 6) - 3 = 39. Check Example 2: (10 * 5) - 3 = 47. Apply to Question: (3 * 7) - 3 = 18.,3
305,(3 [30] 11)  (5 [57] 12)  (12 [?] 7),81,92,79,73,66,A,The rule is: multiply the numbers and subtract 3. Check Example 1: (3 * 11) - 3 = 30. Check Example 2: (5 * 12) - 3 = 57. Apply to Question: (12 * 7) - 3 = 81.,3
306,(7 [60] 9)  (8 [29] 4)  (6 [?] 3),14,13,15,20,16,C,The rule is: multiply the numbers and subtract 3. Check Example 1: (7 * 9) - 3 = 60. Check Example 2: (8 * 4) - 3 = 29. Apply to Question: (6 * 3) - 3 = 15.,3
307,(5 [5] 10)  (3 [5] 4)  (6 [?] 3),18,17,15,25,14,C,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 5) - 10 = 5. Check Example 2: (3 * 3) - 4 = 5. Apply to Question: (3 * 6) - 3 = 15.,3
308,(7 [9] 12)  (5 [12] 3)  (12 [?] 6),27,30,29,26,33,B,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 7) - 12 = 9. Check Example 2: (3 * 5) - 3 = 12. Apply to Question: (3 * 12) - 6 = 30.,3
309,(3 [14] 5)  (4 [18] 2)  (9 [?] 6),81,87,92,89,85,B,The rule is: square the left number and add the right number. Check Example 1: (3² + 5) = 14. Check Example 2: (4² + 2) = 18. Apply to Question: (9² + 6) = 87.,3
310,(11 [42] 10)  (15 [42] 6)  (4 [?] 6),21,20,16,19,17,B,The rule is: add the numbers and multiply the result by 2. Check Example 1: (11 + 10) * 2 = 42. Check Example 2: (15 + 6) * 2 = 42. Apply to Question: (4 + 6) * 2 = 20.,3
311,(5 [24] 7)  (4 [14] 3)  (14 [?] 2),34,32,33,35,30,B,The rule is: add the numbers and multiply the result by 2. Check Example 1: (5 + 7) * 2 = 24. Check Example 2: (4 + 3) * 2 = 14. Apply to Question: (14 + 2) * 2 = 32.,3
312,(3 [17] 8)  (9 [88] 7)  (7 [?] 3),50,45,52,54,51,C,The rule is: square the left number and add the right number. Check Example 1: (3² + 8) = 17. Check Example 2: (9² + 7) = 88. Apply to Question: (7² + 3) = 52.,3
313,(9 [22] 5)  (8 [13] 11)  (7 [?] 11),12,10,7,11,9,B,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 9) - 5 = 22. Check Example 2: (3 * 8) - 11 = 13. Apply to Question: (3 * 7) - 11 = 10.,3
314,(2 [14] 5)  (9 [26] 4)  (9 [?] 6),34,29,30,40,35,C,The rule is: add the numbers and multiply the result by 2. Check Example 1: (2 + 5) * 2 = 14. Check Example 2: (9 + 4) * 2 = 26. Apply to Question: (9 + 6) * 2 = 30.,3
315,(11 [21] 12)  (11 [24] 9)  (5 [?] 7),8,7,13,5,6,A,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 11) - 12 = 21. Check Example 2: (3 * 11) - 9 = 24. Apply to Question: (3 * 5) - 7 = 8.,3
316,(10 [117] 12)  (9 [33] 4)  (6 [?] 10),57,46,59,56,61,A,The rule is: multiply the numbers and subtract 3. Check Example 1: (10 * 12) - 3 = 117. Check Example 2: (9 * 4) - 3 = 33. Apply to Question: (6 * 10) - 3 = 57.,3
317,(11 [28] 5)  (9 [23] 4)  (2 [?] 4),1,3,7,4,2,E,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 11) - 5 = 28. Check Example 2: (3 * 9) - 4 = 23. Apply to Question: (3 * 2) - 4 = 2.,3
318,(9 [87] 6)  (2 [10] 6)  (3 [?] 8),17,16,27,15,18,A,The rule is: square the left number and add the right number. Check Example 1: (9² + 6) = 87. Check Example 2: (2² + 6) = 10. Apply to Question: (3² + 8) = 17.,3
319,(7 [54] 5)  (4 [24] 8)  (4 [?] 3),16,22,29,20,19,E,The rule is: square the left number and add the right number. Check Example 1: (7² + 5) = 54. Check Example 2: (4² + 8) = 24. Apply to Question: (4² + 3) = 19.,3
320,(6 [39] 7)  (9 [33] 4)  (9 [?] 11),96,108,83,105,95,A,The rule is: multiply the numbers and subtract 3. Check Example 1: (6 * 7) - 3 = 39. Check Example 2: (9 * 4) - 3 = 33. Apply to Question: (9 * 11) - 3 = 96.,3
321,(12 [129] 11)  (3 [18] 7)  (10 [?] 12),137,118,119,115,117,E,The rule is: multiply the numbers and subtract 3. Check Example 1: (12 * 11) - 3 = 129. Check Example 2: (3 * 7) - 3 = 18. Apply to Question: (10 * 12) - 3 = 117.,3
322,(3 [11] 2)  (7 [51] 2)  (7 [?] 9),49,57,60,65,58,E,The rule is: square the left number and add the right number. Check Example 1: (3² + 2) = 11. Check Example 2: (7² + 2) = 51. Apply to Question: (7² + 9) = 58.,3
323,(3 [12] 5)  (7 [25] 4)  (11 [?] 6),61,63,52,65,53,B,The rule is: multiply the numbers and subtract 3. Check Example 1: (3 * 5) - 3 = 12. Check Example 2: (7 * 4) - 3 = 25. Apply to Question: (11 * 6) - 3 = 63.,3
324,(6 [16] 2)  (10 [27] 3)  (9 [?] 5),21,27,12,22,23,D,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 6) - 2 = 16. Check Example 2: (3 * 10) - 3 = 27. Apply to Question: (3 * 9) - 5 = 22.,3
325,(6 [11] 7)  (10 [21] 9)  (4 [?] 8),2,5,6,3,4,E,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 6) - 7 = 11. Check Example 2: (3 * 10) - 9 = 21. Apply to Question: (3 * 4) - 8 = 4.,3
326,(11 [31] 2)  (6 [10] 8)  (12 [?] 11),30,21,27,25,35,D,The rule is: multiply the left number by 3 and subtract the right. Check Example 1: (3 * 11) - 2 = 31. Check Example 2: (3 * 6) - 8 = 10. Apply to Question: (3 * 12) - 11 = 25.,3
327,(3 [15] 6)  (4 [22] 6)  (7 [?] 2),49,55,48,51,52,D,The rule is: square the left number and add the right number. Check Example 1: (3² + 6) = 15. Check Example 2: (4² + 6) = 22. Apply to Question: (7² + 2) = 51.,3
328,(4 [21] 5)  (7 [55] 6)  (2 [?] 9),18,10,14,3,13,E,The rule is: square the left number and add the right number. Check Example 1: (4² + 5) = 21. Check Example 2: (7² + 6) = 55. Apply to Question: (2² + 9) = 13.,3
329,(6 [20] 4)  (14 [58] 15)  (5 [?] 4),17,23,20,18,16,D,The rule is: add the numbers and multiply the result by 2. Check Example 1: (6 + 4) * 2 = 20. Check Example 2: (14 + 15) * 2 = 58. Apply to Question: (5 + 4) * 2 = 18.,3
330,(7 [26] 6)  (2 [10] 3)  (12 [?] 3),30,40,24,26,20,A,The rule is: add the numbers and multiply the result by 2. Check Example 1: (7 + 6) * 2 = 26. Check Example 2: (2 + 3) * 2 = 10. Apply to Question: (12 + 3) * 2 = 30.,3
331,(11 [107] 10)  (6 [63] 11)  (12 [?] 7),90,71,81,91,76,C,The rule is: multiply the numbers and subtract 3. Check Example 1: (11 * 10) - 3 = 107. Check Example 2: (6 * 11) - 3 = 63. Apply to Question: (12 * 7) - 3 = 81.,3
332,(4 [33] 9)  (3 [33] 12)  (3 [?] 8),22,23,21,26,20,C,The rule is: multiply the numbers and subtract 3. Check Example 1: (4 * 9) - 3 = 33. Check Example 2: (3 * 12) - 3 = 33. Apply to Question: (3 * 8) - 3 = 21.,3
333,(7 [53] 4)  (9 [88] 7)  (5 [?] 4),25,29,28,31,24,B,The rule is: square the left number and add the right number. Check Example 1: (7² + 4) = 53. Check Example 2: (9² + 7) = 88. Apply to Question: (5² + 4) = 29.,3
334,(2 [13] 9)  (4 [24] 8)  (9 [?] 2),87,83,73,95,93,B,The rule is: square the left number and add the right number. Check Example 1: (2² + 9) = 13. Check Example 2: (4² + 8) = 24. Apply to Question: (9² + 2) = 83.,3
335,(9 [38] 10)  (7 [18] 2)  (13 [?] 2),30,35,34,31,26,A,The rule is: add the numbers and multiply the result by 2. Check Example 1: (9 + 10) * 2 = 38. Check Example 2: (7 + 2) * 2 = 18. Apply to Question: (13 + 2) * 2 = 30.,3
