id,Difficulty,Question Pairs,OptionA,OptionB,OptionC,OptionD,OptionE,Correct Answer,Explanation
264,Level 3,"(trash, waste) (deny, reject)",REFUSE,FLY,MINT,MINUTE,INVALID,A,The word 'REFUSE' links the two pairs. 1. Refuse means 'trash' or 'waste'. 2. Refuse also means 'deny' or 'reject'.
265,Level 3,"(direct, guide) (element, metal)",POOL,RASH,LEAD,LONG,BAT,C,The word 'LEAD' links the two pairs. 1. Lead means 'direct' or 'guide'. 2. Lead also means 'element' or 'metal'.
266,Level 3,"(propose, offer) (sore, painful)",PLAY,WAVE,PARK,SCALE,TENDER,E,The word 'TENDER' links the two pairs. 1. Tender means 'propose' or 'offer'. 2. Tender also means 'sore' or 'painful'.
267,Level 3,"(article, item) (protest, argue)",OBJECT,FAN,PARK,FILE,GRATE,A,The word 'OBJECT' links the two pairs. 1. Object means 'article' or 'item'. 2. Object also means 'protest' or 'argue'.
268,Level 3,"(rubbish, trash) (decline, reject)",TRIP,PRESENT,JAM,REFUSE,OBJECT,D,The word 'REFUSE' links the two pairs. 1. Refuse means 'rubbish' or 'trash'. 2. Refuse also means 'decline' or 'reject'.
269,Level 3,"(term, period) (flavour, herb)",JAM,FAN,SEASON,MINT,RING,C,The word 'SEASON' links the two pairs. 1. Season means 'term' or 'period'. 2. Season also means 'flavour' or 'herb'.
270,Level 3,"(rubbish, waste) (reject, deny)",ROCK,SCALE,WAVE,FLY,REFUSE,E,The word 'REFUSE' links the two pairs. 1. Refuse means 'rubbish' or 'waste'. 2. Refuse also means 'reject' or 'deny'.
271,Level 3,"(garden, enclosure) (unit, stick)",POUND,YARD,TENDER,JERK,RING,B,The word 'YARD' links the two pairs. 1. Yard means 'garden' or 'enclosure'. 2. Yard also means 'unit' or 'stick'.
272,Level 3,"(offering, donation) (exist, attend)",PRESENT,JAM,FILE,RASH,ROCK,A,The word 'PRESENT' links the two pairs. 1. Present means 'offering' or 'donation'. 2. Present also means 'exist' or 'attend'.
273,Level 3,"(tiny, microscopic) (moment, instant)",MATCH,POUND,MINUTE,FILE,STEEP,C,The word 'MINUTE' links the two pairs. 1. Minute means 'tiny' or 'microscopic'. 2. Minute also means 'moment' or 'instant'.
274,Level 3,"(game, fowl) (recoil, cower)",BOLT,LONG,QUAIL,PATIENT,JAM,C,The word 'QUAIL' links the two pairs. 1. Quail means 'game' or 'fowl'. 2. Quail also means 'recoil' or 'cower'.
275,Level 3,"(propose, offer) (sensitive, sore)",LEAD,MATCH,TENDER,STEEP,RING,C,The word 'TENDER' links the two pairs. 1. Tender means 'propose' or 'offer'. 2. Tender also means 'sensitive' or 'sore'.
276,Level 3,"(satisfied, happy) (matter, topic)",MATCH,WAVE,CURRENT,ROCK,CONTENT,E,The word 'CONTENT' links the two pairs. 1. Content means 'satisfied' or 'happy'. 2. Content also means 'matter' or 'topic'.
277,Level 3,"(item, thing) (argue, oppose)",MINT,RACKET,CONTENT,OBJECT,MINUTE,D,The word 'OBJECT' links the two pairs. 1. Object means 'item' or 'thing'. 2. Object also means 'argue' or 'oppose'.
278,Level 3,"(false, void) (unwell, ill)",RING,INVALID,RASH,STERN,MINT,B,The word 'INVALID' links the two pairs. 1. Invalid means 'false' or 'void'. 2. Invalid also means 'unwell' or 'ill'.
279,Level 3,"(bid, propose) (sensitive, sore)",FINE,PLAY,STERN,TENDER,FILE,D,The word 'TENDER' links the two pairs. 1. Tender means 'bid' or 'propose'. 2. Tender also means 'sensitive' or 'sore'.
280,Level 3,"(time, period) (spice, herb)",QUAIL,STEEP,ROCK,SEASON,RACKET,D,The word 'SEASON' links the two pairs. 1. Season means 'time' or 'period'. 2. Season also means 'spice' or 'herb'.
281,Level 3,"(false, null) (sick, unwell)",MINT,PARK,MATCH,INVALID,LONG,D,The word 'INVALID' links the two pairs. 1. Invalid means 'false' or 'null'. 2. Invalid also means 'sick' or 'unwell'.
282,Level 3,"(crypt, tomb) (solemn, somber)",LEAD,PATIENT,JERK,WAVE,GRAVE,E,The word 'GRAVE' links the two pairs. 1. Grave means 'crypt' or 'tomb'. 2. Grave also means 'solemn' or 'somber'.
283,Level 3,"(small, tiny) (moment, second)",BOLT,MINUTE,BAT,BARK,FLY,B,The word 'MINUTE' links the two pairs. 1. Minute means 'small' or 'tiny'. 2. Minute also means 'moment' or 'second'.
284,Level 3,"(enclosure, court) (unit, measure)",YARD,CLUB,JERK,RING,QUAIL,A,The word 'YARD' links the two pairs. 1. Yard means 'enclosure' or 'court'. 2. Yard also means 'unit' or 'measure'.
285,Level 3,"(bird, game) (shrink, cower)",INVALID,CONTRACT,YARD,QUAIL,ROCK,D,The word 'QUAIL' links the two pairs. 1. Quail means 'bird' or 'game'. 2. Quail also means 'shrink' or 'cower'.
286,Level 3,"(bird, game) (shrink, recoil)",PLAY,JERK,SINK,WAVE,QUAIL,E,The word 'QUAIL' links the two pairs. 1. Quail means 'bird' or 'game'. 2. Quail also means 'shrink' or 'recoil'.
287,Level 3,"(item, article) (argue, protest)",SINK,OBJECT,CURRENT,PRESENT,CLUB,B,The word 'OBJECT' links the two pairs. 1. Object means 'item' or 'article'. 2. Object also means 'argue' or 'protest'.
288,Level 3,"(rubbish, waste) (deny, decline)",FAN,GRATE,REFUSE,BAT,JAM,C,The word 'REFUSE' links the two pairs. 1. Refuse means 'rubbish' or 'waste'. 2. Refuse also means 'deny' or 'decline'.
289,Level 3,"(game, fowl) (cower, recoil)",CLUB,PLAY,CURRENT,PATIENT,QUAIL,E,The word 'QUAIL' links the two pairs. 1. Quail means 'game' or 'fowl'. 2. Quail also means 'cower' or 'recoil'.
290,Level 3,"(bat, paddle) (din, uproar)",OBJECT,FILE,ROCK,RACKET,STERN,D,The word 'RACKET' links the two pairs. 1. Racket means 'bat' or 'paddle'. 2. Racket also means 'din' or 'uproar'.
291,Level 3,"(court, enclosure) (measure, unit)",CONTENT,MINT,STERN,YARD,INVALID,D,The word 'YARD' links the two pairs. 1. Yard means 'court' or 'enclosure'. 2. Yard also means 'measure' or 'unit'.
292,Level 3,"(donation, gift) (exist, here)",CURRENT,POOL,BARK,LEAD,PRESENT,E,The word 'PRESENT' links the two pairs. 1. Present means 'donation' or 'gift'. 2. Present also means 'exist' or 'here'.
293,Level 3,"(void, null) (sick, ill)",QUAIL,TENDER,INVALID,RING,BAT,C,The word 'INVALID' links the two pairs. 1. Invalid means 'void' or 'null'. 2. Invalid also means 'sick' or 'ill'.
294,Level 3,"(court, enclosure) (measure, unit)",CURRENT,YARD,STEEP,ROCK,QUAIL,B,The word 'YARD' links the two pairs. 1. Yard means 'court' or 'enclosure'. 2. Yard also means 'measure' or 'unit'.
295,Level 3,"(propose, offer) (sensitive, painful)",WATCH,STERN,TENDER,GRATE,PLAY,C,The word 'TENDER' links the two pairs. 1. Tender means 'propose' or 'offer'. 2. Tender also means 'sensitive' or 'painful'.
296,Level 3,"(enclosure, court) (unit, stick)",YARD,PLAY,JAM,FINE,FILE,A,The word 'YARD' links the two pairs. 1. Yard means 'enclosure' or 'court'. 2. Yard also means 'unit' or 'stick'.
297,Level 3,"(thing, article) (oppose, argue)",GRAVE,PATIENT,WAVE,OBJECT,FAN,D,The word 'OBJECT' links the two pairs. 1. Object means 'thing' or 'article'. 2. Object also means 'oppose' or 'argue'.
298,Level 3,"(guide, direct) (metal, element)",LEAD,PRESENT,WATCH,REFUSE,TRIP,A,The word 'LEAD' links the two pairs. 1. Lead means 'guide' or 'direct'. 2. Lead also means 'metal' or 'element'.
299,Level 3,"(bat, club) (din, noise)",RACKET,POOL,STERN,PRESENT,CONTENT,A,The word 'RACKET' links the two pairs. 1. Racket means 'bat' or 'club'. 2. Racket also means 'din' or 'noise'.
300,Level 3,"(shrink, reduce) (agreement, treaty)",RING,REFUSE,INVALID,GRAVE,CONTRACT,E,The word 'CONTRACT' links the two pairs. 1. Contract means 'shrink' or 'reduce'. 2. Contract also means 'agreement' or 'treaty'.
