ID,Question,A,B,C,D,E,Correct Answer,Explanation
M3L_NEW_132,Ocean ER.,THE,LIN,OUT,OWL,TOP,B,The missing letters are LIN (LINER).
M3L_NEW_133,Deep SUBMNE.,HAT,MET,PAY,ARI,ILL,D,The missing letters are ARI (SUBMARINE).
M3L_NEW_134,Paddle OE.,ROT,MAT,HAY,CAN,CAT,D,The missing letters are CAN (CANOE).
M3L_NEW_135,Log R.,KIT,CAT,NAY,TAD,AFT,E,The missing letters are AFT (RAFT).
M3L_NEW_136,Ride a OTER.,SCO,BAG,ALL,ROT,LAG,A,The missing letters are SCO (SCOOTER).
M3L_NEW_137,Fly a HELICOP.,MOO,ICE,URN,POT,TER,E,The missing letters are TER (HELICOPTER).
M3L_NEW_138,Alien SPACES.,SKY,NAG,HIP,BIT,BAT,C,The missing letters are HIP (SPACESHIP).
M3L_NEW_139,Space SATELE.,LIT,MAT,ASH,ING,BAD,A,The missing letters are LIT (SATELLITE).
M3L_NEW_140,Metal OT.,FOX,LAG,ORE,ROB,END,D,The missing letters are ROB (ROBOT).
M3L_NEW_141,Washing MANE.,END,EGO,CHI,EGG,ADO,C,The missing letters are CHI (MACHINE).
M3L_NEW_142,Car MO.,WAY,TOR,NAG,URN,FRY,B,The missing letters are TOR (MOTOR).
M3L_NEW_143,Change R.,AID,GEA,JOY,TOY,AND,B,The missing letters are GEA (GEAR).
M3L_NEW_144,Bike PE.,NET,DAL,BAY,ASK,RED,B,The missing letters are DAL (PEDAL).
M3L_NEW_145,Door DLE.,SIT,LET,OAT,BOX,HAN,E,The missing letters are HAN (HANDLE).
M3L_NEW_146,Horse SAD.,ONE,SAT,POT,OWN,DLE,E,The missing letters are DLE (SADDLE).
M3L_NEW_147,Bird G.,LEE,BIT,WIN,ILL,PAT,C,The missing letters are WIN (WING).
M3L_NEW_148,Dog T.,SET,AIL,MAD,AGE,SIT,B,The missing letters are AIL (TAIL).
M3L_NEW_149,Loose TH.,TOO,MY,EVE,FOX,ONE,A,The missing letters are TOO (TOOTH).
M3L_NEW_150,Pink TUE.,ODD,HAY,GAY,RAD,ONG,E,The missing letters are ONG (TONGUE).
M3L_NEW_151,Suck TB.,DAD,CRY,NAY,HUM,FIT,D,The missing letters are HUM (THUMB).
M3L_NEW_152,Finger N.,CAN,AIL,MOO,LET,FEE,B,The missing letters are AIL (NAIL).
M3L_NEW_153,Slim WT.,TION,OUT,AIS,BIG,BAT,C,The missing letters are AIS (WAIST).
M3L_NEW_154,Sprain LE.,OUS,YAK,RED,ANK,VET,D,The missing letters are ANK (ANKLE).
M3L_NEW_155,Left F.,SEE,THE,INN,OOT,BAT,D,The missing letters are OOT (FOOT).
M3L_NEW_156,Dog E.,NAG,MAT,ILL,BON,ONE,D,The missing letters are BON (BONE).
M3L_NEW_157,Soft S.,WHY,MAT,KIN,BEE,SHY,C,The missing letters are KIN (SKIN).
M3L_NEW_158,Red BD.,CRY,ION,LOO,HAT,YET,C,The missing letters are LOO (BLOOD).
M3L_NEW_159,Beat HE.,BET,ART,RAY,YET,NET,B,The missing letters are ART (HEART).
M3L_NEW_160,Mind BN.,OWL,APE,RAI,WIT,SKY,C,The missing letters are RAI (BRAIN).
M3L_NEW_161,Breath G.,OUR,MET,TOY,MY,LUN,E,The missing letters are LUN (LUNG).
M3L_NEW_162,Strong MUE.,ARK,RED,NEW,SCL,NET,D,The missing letters are SCL (MUSCLE).
M3L_NEW_163,Calm VE.,COT,IVE,NER,CAD,EYE,C,The missing letters are NER (NERVE).
M3L_NEW_164,Eye ST.,IGH,GET,TRY,BAG,IVY,A,The missing letters are IGH (SIGHT).
M3L_NEW_165,Deep THOT.,COT,SAD,IRE,UGH,FIT,D,The missing letters are UGH (THOUGHT).
M3L_NEW_166,Lost MEY.,ALL,ZOO,MOR,FIT,NAG,C,The missing letters are MOR (MEMORY).
M3L_NEW_167,Scared R.,FEA,LAD,LEE,TEE,FAT,A,The missing letters are FEA (FEAR).
M3L_NEW_168,Red AN.,INN,LEE,GER,HAY,DRY,C,The missing letters are GER (ANGER).
M3L_NEW_169,Crying SADN.,END,RED,ESS,TRY,ATE,C,The missing letters are ESS (SADNESS).
M3L_NEW_170,Ouch N.,ADD,SIT,LOT,PAI,AND,D,The missing letters are PAI (PAIN).
M3L_NEW_171,Sick ILLS.,NES,HAG,WIT,EGO,MAD,A,The missing letters are NES (ILLNESS).
M3L_NEW_172,Bad DASE.,ILL,ISE,ADD,WAY,EYE,B,The missing letters are ISE (DISEASE).
M3L_NEW_173,High FE.,VER,TION,BAG,DAD,HAY,A,The missing letters are VER (FEVER).
M3L_NEW_174,Blue ISE.,LAG,WIT,ARK,BRU,MAN,D,The missing letters are BRU (BRUISE).
M3L_NEW_175,Fire B.,SET,ARM,OWN,INN,URN,E,The missing letters are URN (BURN).
M3L_NEW_176,Bee NG.,STI,CRY,MAN,SIT,EVE,A,The missing letters are STI (STING).
M3L_NEW_177,Dog B.,SPY,THE,ACT,CAT,ITE,E,The missing letters are ITE (BITE).
M3L_NEW_178,Cat ATCH.,AIR,LET,SIT,SCR,DRY,D,The missing letters are SCR (SCRATCH).
M3L_NEW_179,Old R.,WET,SUN,OUR,OPT,SCA,E,The missing letters are SCA (SCAR).
M3L_NEW_180,Red S.,GAY,POT,OLD,EGO,WAG,B,The missing letters are POT (SPOT).
M3L_NEW_181,Itchy H.,EST,END,RAS,OIL,IVY,C,The missing letters are RAS (RASH).
M3L_NEW_182,Take MEINE.,FLY,PRY,DIC,IRE,LAD,C,The missing letters are DIC (MEDICINE).
M3L_NEW_183,Swallow P.,PAD,ILL,SAT,BAG,BET,B,The missing letters are ILL (PILL).
M3L_NEW_184,Take a TET.,ING,RAT,ORE,ABL,MET,D,The missing letters are ABL (TABLET).
M3L_NEW_185,Wrap BAGE.,CAN,ORE,NDA,LAD,PET,C,The missing letters are NDA (BANDAGE).
M3L_NEW_186,Stick PLAS.,JET,TER,FLY,OUR,THY,B,The missing letters are TER (PLASTER).
M3L_NEW_187,Plaster T.,SUN,RED,WAY,ART,CAS,E,The missing letters are CAS (CAST).
M3L_NEW_188,Walk with CRH.,SAD,SHY,GAG,UTC,ACT,D,The missing letters are UTC (CRUTCH).
M3L_NEW_189,Sit in WHEELCH.,ADD,AIR,CAD,GAG,TAD,B,The missing letters are AIR (WHEELCHAIR).
M3L_NEW_190,Wear GSES.,BAY,AIR,TOP,LAS,MOO,D,The missing letters are LAS (GLASSES).
M3L_NEW_191,Walking ST.,SKY,ICK,RUN,WIT,IRE,B,The missing letters are ICK (STICK).
M3L_NEW_192,Rain UMBRE.,OFF,NAY,IRE,ARM,LLA,E,The missing letters are LLA (UMBRELLA).
M3L_NEW_193,Ten DDE.,APE,ECA,HIT,FRY,EAR,B,The missing letters are ECA (DECADE).
M3L_NEW_194,Hundred CENY.,NAG,ONE,TUR,MAN,PAD,C,The missing letters are TUR (CENTURY).
M3L_NEW_195,Good MING.,SAG,FIT,SUN,AGE,ORN,E,The missing letters are ORN (MORNING).
M3L_NEW_196,High N.,WET,WIT,MAY,NOO,AID,D,The missing letters are NOO (NOON).
M3L_NEW_197,Good AFTERN.,SPY,ADD,ARK,ORB,NOO,E,The missing letters are NOO (AFTERNOON).
M3L_NEW_198,Good EVEG.,HAT,LAD,AND,NIN,KAY,D,The missing letters are NIN (EVENING).
M3L_NEW_199,Good HT.,PRY,IRE,BEE,NIG,USE,D,The missing letters are NIG (NIGHT).
M3L_NEW_200,Twelve MIDNT.,LIT,SHY,IGH,NAG,SAG,C,The missing letters are IGH (MIDNIGHT).
M3L_NEW_201,Fly a HELICOR.,BAT,ENT,WAY,ODD,PTE,E,The missing letters are PTE (HELICOPTER).
M3L_NEW_202,Dive in a SUBMAR.,ART,OWN,INE,WIT,WEE,C,The missing letters are INE (SUBMARINE).
M3L_NEW_203,Call an AMBUCE.,ACE,YET,SEE,LAN,INN,D,The missing letters are LAN (AMBULANCE).
M3L_NEW_204,Ride a SCER.,EEL,WEE,ODD,COT,OOT,E,The missing letters are OOT (SCOOTER).
M3L_NEW_205,Horse and CARRE.,PRY,ATE,SET,EGG,IAG,E,The missing letters are IAG (CARRIAGE).
M3L_NEW_206,Roman CHAR.,KIT,AIM,DAD,SAY,IOT,E,The missing letters are IOT (CHARIOT).
M3L_NEW_207,Pull a WA.,COT,KAY,ING,APE,GON,E,The missing letters are GON (WAGON).
M3L_NEW_208,Ride a BICY.,CAT,CLE,DRY,FIT,HAD,B,The missing letters are CLE (BICYCLE).
M3L_NEW_209,Three wheel TYCLE.,OAK,RIC,WAG,FOR,FIT,B,The missing letters are RIC (TRICYCLE).
M3L_NEW_210,Ride a TEBOARD.,EEL,MAG,SKA,ARK,COT,C,The missing letters are SKA (SKATEBOARD).
M3L_NEW_211,Play the GAR.,MAT,FAT,OAR,UIT,GAY,D,The missing letters are UIT (GUITAR).
M3L_NEW_212,Play the VIO.,LIN,WIT,ONE,APE,YAK,A,The missing letters are LIN (VIOLIN).
M3L_NEW_213,Blow the TRUM.,KIT,HIT,PET,TION,BOO,C,The missing letters are PET (TRUMPET).
M3L_NEW_214,Beat the MS.,VET,DOG,DRU,EVE,AGE,C,The missing letters are DRU (DRUMS).
M3L_NEW_215,Play the FE.,ONE,BOY,DOT,SIT,LUT,E,The missing letters are LUT (FLUTE).
M3L_NEW_216,Play the CLART.,OUT,INE,MY,RUN,MOO,B,The missing letters are INE (CLARINET).
M3L_NEW_217,Jazz SPHONE.,DAY,AXO,ARK,ADO,END,B,The missing letters are AXO (SAXOPHONE).
M3L_NEW_218,Play the CO.,HIT,INK,LAY,EAR,ELL,E,The missing letters are ELL (CELLO).
M3L_NEW_219,Pluck the H.,AID,HOT,FIT,ARP,BY,D,The missing letters are ARP (HARP).
M3L_NEW_220,Strum the BO.,SPY,BOX,IVY,LOT,ANJ,E,The missing letters are ANJ (BANJO).
M3L_NEW_221,Loud NDER.,URN,THU,ASK,NAY,LIT,B,The missing letters are THU (THUNDER).
M3L_NEW_222,Flash of LIGING.,YET,OPT,HTN,KAY,TRY,C,The missing letters are HTN (LIGHTNING).
M3L_NEW_223,Colourful RAIN.,BET,BOW,CAT,TAG,FAD,B,The missing letters are BOW (RAINBOW).
M3L_NEW_224,Light DZLE.,ARM,FRY,RIZ,ING,ALL,C,The missing letters are RIZ (DRIZZLE).
M3L_NEW_225,Ice HAIONE.,OUT,SUN,ENT,LOT,LST,E,The missing letters are LST (HAILSTONE).
M3L_NEW_226,Snow BZARD.,LAG,HOT,ASK,LIZ,CAT,D,The missing letters are LIZ (BLIZZARD).
M3L_NEW_227,Windy NADO.,LIT,BAY,ATE,TOR,FLY,D,The missing letters are TOR (TORNADO).
M3L_NEW_228,Strong HURANE.,AIM,RIC,FOR,WET,HAT,B,The missing letters are RIC (HURRICANE).
M3L_NEW_229,Heavy rain MOON.,RAG,NSO,HOT,BOY,ING,B,The missing letters are NSO (MONSOON).
M3L_NEW_230,Wear AMAS to bed.,WIT,CAN,ROT,PYJ,RAY,D,The missing letters are PYJ (PYJAMAS).
M3L_NEW_231,Wear TROUS.,INK,ERS,TRY,RAG,APE,B,The missing letters are ERS (TROUSERS).
M3L_NEW_232,Woolly CARAN.,BAT,DIG,EST,BAY,JAY,B,The missing letters are DIG (CARDIGAN).
M3L_NEW_233,Smart WAIOAT.,IVY,STC,IRE,HAY,BAG,B,The missing letters are STC (WAISTCOAT).
M3L_NEW_234,Running TRAIN.,OUS,ODD,FIT,BAY,ERS,E,The missing letters are ERS (TRAINERS).
M3L_NEW_235,Summer DALS.,BOY,ONE,APE,SHY,SAN,E,The missing letters are SAN (SANDALS).
M3L_NEW_236,Comfy PPERS.,SPY,WEE,TAG,SLI,AGE,D,The missing letters are SLI (SLIPPERS).
M3L_NEW_237,School UNRM.,TEE,IFO,ORE,BAY,NOT,B,The missing letters are IFO (UNIFORM).
M3L_NEW_238,Fancy dress TUME.,COS,FEE,OAR,EGO,HOP,A,The missing letters are COS (COSTUME).
M3L_NEW_239,Clothes in WARBE.,WET,PIT,ODD,DRO,EGO,D,The missing letters are DRO (WARDROBE).
M3L_NEW_240,Books on KCASE.,MAN,EEL,SPY,BOO,HAG,D,The missing letters are BOO (BOOKCASE).
M3L_NEW_241,Sit in ARMCH.,MAG,NEW,AIR,GAG,PAD,C,The missing letters are AIR (ARMCHAIR).
M3L_NEW_242,Close the TAIN.,KIT,OUR,GAG,CUR,SPY,D,The missing letters are CUR (CURTAIN).
M3L_NEW_243,Soft CUON.,JAY,SHI,AIR,ADD,ROT,B,The missing letters are SHI (CUSHION).
M3L_NEW_244,Warm BLAT.,AID,NKE,OUR,TAG,EVE,B,The missing letters are NKE (BLANKET).
M3L_NEW_245,Sleep under ET.,DUV,EGO,DRY,MAT,SUN,A,The missing letters are DUV (DUVET).
M3L_NEW_246,Head on PIW.,HOP,IVE,NET,PAY,LLO,E,The missing letters are LLO (PILLOW).
M3L_NEW_247,Soft TRESS.,URN,TOP,MAT,FRY,SAG,C,The missing letters are MAT (MATTRESS).
M3L_NEW_248,Big church CADRAL.,RAD,THE,CAT,TAD,SKY,B,The missing letters are THE (CATHEDRAL).
M3L_NEW_249,Football STAM.,TOO,DIU,FOX,ION,WHY,B,The missing letters are DIU (STADIUM).
M3L_NEW_250,Quiet LIBY.,OUR,TOO,URN,FAT,RAR,E,The missing letters are RAR (LIBRARY).
M3L_NEW_251,Watch a play in ATRE.,PRY,THE,WIT,JAY,COO,B,The missing letters are THE (THEATRE).
M3L_NEW_252,Watch a film in CIA.,SIT,LAD,WIT,NEM,PRY,D,The missing letters are NEM (CINEMA).
M3L_NEW_253,History MUM.,OWL,URN,RUN,TION,USE,E,The missing letters are USE (MUSEUM).
M3L_NEW_254,King's CAE.,ACT,JAG,GET,RAT,STL,E,The missing letters are STL (CASTLE).
M3L_NEW_255,Queen's PCE.,NOT,OAT,ALA,HOP,WAG,C,The missing letters are ALA (PALACE).
M3L_NEW_256,Small TAGE.,FAT,OWL,PAT,DOG,COT,E,The missing letters are COT (COTTAGE).
M3L_NEW_257,One floor GALOW.,FRY,ENT,AGE,BUN,ILL,D,The missing letters are BUN (BUNGALOW).
M3L_NEW_258,Large SION.,WET,MAN,OAK,MAG,ACT,B,The missing letters are MAN (MANSION).
M3L_NEW_259,Flat APARTM.,OAT,OUR,SHY,WAY,ENT,E,The missing letters are ENT (APARTMENT).
M3L_NEW_260,Erupting VOLO.,SHY,ADD,BY,CAN,HAT,D,The missing letters are CAN (VOLCANO).
M3L_NEW_261,Ice GIER.,FRY,LAC,WAY,GAG,ACT,B,The missing letters are LAC (GLACIER).
M3L_NEW_262,Sandy ERT.,MAT,DES,USE,CRY,GAG,B,The missing letters are DES (DESERT).
M3L_NEW_263,Deep CAN.,BAT,CRY,MOO,FRY,NYO,E,The missing letters are NYO (CANYON).
M3L_NEW_264,Green JUN.,RAY,TEE,LOO,GLE,BY,D,The missing letters are GLE (JUNGLE).
M3L_NEW_265,Grassy MOW.,EAD,OWL,INK,LET,COO,A,The missing letters are EAD (MEADOW).
M3L_NEW_266,Cow PURE.,ZOO,AST,FLY,DAD,SET,B,The missing letters are AST (PASTURE).
M3L_NEW_267,Apple OARD.,EVE,RCH,GAY,HAY,EST,B,The missing letters are RCH (ORCHARD).
M3L_NEW_268,Grape VINED.,HIT,ZOO,SIT,WIT,YAR,E,The missing letters are YAR (VINEYARD).
M3L_NEW_269,Good FRDSHIP.,ENT,ACT,LAY,IEN,IVE,D,The missing letters are IEN (FRIENDSHIP).
M3L_NEW_270,Full of HAPPSS.,INE,DAD,PAY,INK,JET,A,The missing letters are INE (HAPPINESS).
M3L_NEW_271,Feel NESS.,ORE,SAD,SPY,OUT,HAY,B,The missing letters are SAD (SADNESS).
M3L_NEW_272,Feel AR.,NGE,RED,LOO,PAY,EAR,A,The missing letters are NGE (ANGER).
M3L_NEW_273,Be brave CAGE.,BIT,EVE,OUR,ORE,NOT,C,The missing letters are OUR (COURAGE).
M3L_NEW_274,In GER.,BET,DAN,RUN,WAG,NAG,B,The missing letters are DAN (DANGER).
M3L_NEW_275,Keep in STY.,PIT,ATE,AFE,BAG,ILL,C,The missing letters are AFE (SAFETY).
M3L_NEW_276,Quiet SILE.,JET,ENC,AGE,WIT,THY,B,The missing letters are ENC (SILENCE).
M3L_NEW_277,Loud NE.,OIS,OUS,IVE,OUT,EVE,A,The missing letters are OIS (NOISE).
M3L_NEW_278,Listen to MC.,TION,OWN,USI,COT,LIT,C,The missing letters are USI (MUSIC).
M3L_NEW_279,Full of UTY.,SHY,JAG,BEA,FAT,OIL,C,The missing letters are BEA (BEAUTY).
M3L_NEW_280,Tell the TH.,NET,ADD,RUT,CAN,HOT,C,The missing letters are RUT (TRUTH).
M3L_NEW_281,War and PE.,ACE,BIT,MAD,VET,COT,A,The missing letters are ACE (PEACE).
M3L_NEW_282,Very BTIFUL.,TION,MAG,LAG,LOO,EAU,E,The missing letters are EAU (BEAUTIFUL).
M3L_NEW_283,Very WERFUL.,OND,OFF,RAT,TOO,MAG,A,The missing letters are OND (WONDERFUL).
M3L_NEW_284,Very TEBLE.,EAT,RRI,NAY,OWN,ORE,B,The missing letters are RRI (TERRIBLE).
M3L_NEW_285,Very RIBLE.,BAG,ACE,HAG,HOR,PAY,D,The missing letters are HOR (HORRIBLE).
M3L_NEW_286,Very AMNG.,AZI,FOR,RAY,WAY,END,A,The missing letters are AZI (AMAZING).
M3L_NEW_287,Very ETING.,ARK,PAD,YET,BAG,XCI,E,The missing letters are XCI (EXCITING).
M3L_NEW_288,Very BNG.,LEE,ORI,FLY,PET,ACT,B,The missing letters are ORI (BORING).
M3L_NEW_289,Very DIFFIC.,RED,FLY,FAD,RAT,ULT,E,The missing letters are ULT (DIFFICULT).
M3L_NEW_290,Very IMPORT.,GET,BIT,OUR,JAG,TAN,E,The missing letters are TAN (IMPORTANT).
M3L_NEW_291,Very DANOUS.,RED,EAT,MOO,GER,TOP,D,The missing letters are GER (DANGEROUS).
M3L_NEW_292,Be CARL.,THY,IVY,EFU,FOX,GAG,C,The missing letters are EFU (CAREFUL).
M3L_NEW_293,Don't be ELESS.,ORB,CAR,MAN,IRE,OWN,B,The missing letters are CAR (CARELESS).
M3L_NEW_294,Very USE.,LAD,INN,ART,FUL,MAG,D,The missing letters are FUL (USEFUL).
M3L_NEW_295,Very LESS.,OIL,USE,LAD,YET,FOR,B,The missing letters are USE (USELESS).
M3L_NEW_296,Do you RMBER?,EME,JAY,JET,WEE,HAT,A,The missing letters are EME (REMEMBER).
M3L_NEW_297,Don't FOR.,COO,GET,URN,JAY,JET,B,The missing letters are GET (FORGET).
M3L_NEW_298,I BEVE you.,SHY,VET,DRY,ELI,AND,D,The missing letters are ELI (BELIEVE).
M3L_NEW_299,Make a PISE.,ASK,JET,EVE,ROM,BOO,D,The missing letters are ROM (PROMISE).
M3L_NEW_300,You must IDE.,DAY,USE,DEC,PAY,OAR,C,The missing letters are DEC (DECIDE).
M3L_NEW_301,Did you ISH?,FIN,ENT,EAR,SAG,ING,A,The missing letters are FIN (FINISH).
M3L_NEW_302,Let's ST.,TRY,MAY,ODD,TAR,TOO,D,The missing letters are TAR (START).
M3L_NEW_303,Let's BN.,AND,DRY,MET,SAY,EGI,E,The missing letters are EGI (BEGIN).
M3L_NEW_304,When do we IVE?,ARR,FAT,FLY,SET,WET,A,The missing letters are ARR (ARRIVE).
M3L_NEW_305,When do we ART?,SKY,ILL,DEP,WIT,ACE,C,The missing letters are DEP (DEPART).
M3L_NEW_306,Go VEL.,WIT,TRA,ORE,AIM,YAK,B,The missing letters are TRA (TRAVEL).
M3L_NEW_307,Go EXPE.,TOO,LOR,GET,TRY,THE,B,The missing letters are LOR (EXPLORE).
M3L_NEW_308,Go DISCO.,THE,SAT,USE,GAG,VER,E,The missing letters are VER (DISCOVER).
M3L_NEW_309,Go INV.,MAD,CRY,COT,ENT,RAY,D,The missing letters are ENT (INVENT).
M3L_NEW_310,Church OR.,SAY,GAN,LAG,GET,DOT,B,The missing letters are GAN (ORGAN).
M3L_NEW_311,Pop SIR.,YET,AND,RAG,NEW,NGE,E,The missing letters are NGE (SINGER).
M3L_NEW_312,Talented ICIAN.,ADO,MUS,HAD,ONE,FIT,B,The missing letters are MUS (MUSICIAN).
M3L_NEW_313,Big ORCHEA.,EAT,STR,AGE,OWL,IVY,B,The missing letters are STR (ORCHESTRA).
M3L_NEW_314,Live CERT.,CON,NEW,ADO,RUN,AIM,A,The missing letters are CON (CONCERT).
M3L_NEW_315,Sweet MEL.,VET,ODY,BY,EEL,FLY,B,The missing letters are ODY (MELODY).
M3L_NEW_316,Fast RHY.,SHY,WAY,HAG,LAD,THM,E,The missing letters are THM (RHYTHM).
M3L_NEW_317,Song LCS.,YRI,OUT,BET,DRY,PAT,A,The missing letters are YRI (LYRICS).
M3L_NEW_318,Sing the CHS.,OAT,TOP,HOT,TEE,ORU,E,The missing letters are ORU (CHORUS).
M3L_NEW_319,First VE.,RSE,EAR,NET,LOO,DOG,A,The missing letters are RSE (VERSE).
M3L_NEW_320,Catchy E.,GET,WIT,TUN,AGE,OFF,C,The missing letters are TUN (TUNE).
M3L_NEW_321,High E.,SIT,NOT,ION,TOP,SAG,B,The missing letters are NOT (NOTE).
M3L_NEW_322,Major SC.,ALE,IVE,OLD,RAD,DRY,A,The missing letters are ALE (SCALE).
M3L_NEW_323,Play a RD.,NAG,BIG,BET,NET,CHO,E,The missing letters are CHO (CHORD).
M3L_NEW_324,Loud ND.,EEL,BAY,SOU,RAG,FOX,C,The missing letters are SOU (SOUND).
M3L_NEW_325,Loud CE.,LEE,VOI,WHY,EGO,PAT,B,The missing letters are VOI (VOICE).
M3L_NEW_326,Blow a STLE.,WHI,SAT,NAY,AIR,ASH,A,The missing letters are WHI (WHISTLE).
M3L_NEW_327,Loud SCR.,EAM,LAD,OUS,BET,ADO,A,The missing letters are EAM (SCREAM).
M3L_NEW_328,Don't SH.,PRY,OUT,DAD,SET,WEE,B,The missing letters are OUT (SHOUT).
M3L_NEW_329,Soft SPER.,NET,ONE,WHI,BY,AND,C,The missing letters are WHI (WHISPER).
M3L_NEW_330,Don't MUM.,OAK,FEE,TRY,SIT,BLE,E,The missing letters are BLE (MUMBLE).
M3L_NEW_331,Loud GR.,OAN,HAY,LOT,FLY,HOP,A,The missing letters are OAN (GROAN).
M3L_NEW_332,Stop N.,MOA,RUN,DOG,DOT,FIT,A,The missing letters are MOA (MOAN).
M3L_NEW_333,Big GH.,SET,LAU,ADO,MAT,RAY,B,The missing letters are LAU (LAUGH).
M3L_NEW_334,Nice SM.,INK,NEW,WAY,YET,ILE,E,The missing letters are ILE (SMILE).
M3L_NEW_335,Cheeky G.,OPT,PIT,RIN,ING,BAY,C,The missing letters are RIN (GRIN).
M3L_NEW_336,Sad FR.,TOO,OWN,HAG,CAD,EAT,B,The missing letters are OWN (FROWN).
M3L_NEW_337,Don't SE.,NAG,HIT,ACT,SUN,TAR,E,The missing letters are TAR (STARE).
M3L_NEW_338,Quick NCE.,COT,ORE,GLA,IVY,BIG,C,The missing letters are GLA (GLANCE).
M3L_NEW_339,Don't NK.,GAG,FAT,BLI,INN,ART,C,The missing letters are BLI (BLINK).
M3L_NEW_340,Give a K.,CRY,ASK,GAG,WIN,KAY,D,The missing letters are WIN (WINK).
M3L_NEW_341,Hand SH.,AKE,SAG,ACE,OUT,BIT,A,The missing letters are AKE (SHAKE).
M3L_NEW_342,Hand W.,MAN,LET,AIR,MAG,AVE,E,The missing letters are AVE (WAVE).
M3L_NEW_343,Finger PT.,WET,OIN,HAY,BY,LOT,B,The missing letters are OIN (POINT).
M3L_NEW_344,Hands C.,LAP,ADO,EYE,PIT,COT,A,The missing letters are LAP (CLAP).
M3L_NEW_345,Feet MP.,URN,SAT,WAY,STA,FEE,D,The missing letters are STA (STAMP).
M3L_NEW_346,Ball K.,NAY,ICK,AID,RAY,ALL,B,The missing letters are ICK (KICK).
M3L_NEW_347,Don't PH.,YET,UNC,MAY,BOY,DRY,B,The missing letters are UNC (PUNCH).
M3L_NEW_348,Don't P.,SLA,DOT,NEW,WEE,ION,A,The missing letters are SLA (SLAP).
M3L_NEW_349,Don't P.,SIT,PAY,ORB,USH,OUT,D,The missing letters are USH (PUSH).
M3L_NEW_350,Don't L.,PUL,ODD,AIM,JOY,FOX,A,The missing letters are PUL (PULL).
M3L_NEW_351,Heavy T.,SPY,HIT,LIF,POT,ING,C,The missing letters are LIF (LIFT).
M3L_NEW_352,Don't D.,ROP,OAT,ADD,BEE,BET,A,The missing letters are ROP (DROP).
M3L_NEW_353,Don't F.,LAY,FOR,SAG,ALL,OAK,D,The missing letters are ALL (FALL).
M3L_NEW_354,Don't P.,FOR,AGE,LOO,TRI,MAT,D,The missing letters are TRI (TRIP).
M3L_NEW_355,Don't P.,FOR,SLI,CRY,BY,BIT,B,The missing letters are SLI (SLIP).
M3L_NEW_356,Down the DE.,ARM,WHY,FLY,SLI,USE,D,The missing letters are SLI (SLIDE).
M3L_NEW_357,Up the CB.,RUN,WET,LIM,AIR,THY,C,The missing letters are LIM (CLIMB).
M3L_NEW_358,Baby CR.,TRY,ION,AWL,BET,NOT,C,The missing letters are AWL (CRAWL).
M3L_NEW_359,Go for a K.,SAT,TAD,EEL,WAL,ROT,D,The missing letters are WAL (WALK).
M3L_NEW_360,Fast SPR.,EGO,KIT,ARM,INT,SAT,D,The missing letters are INT (SPRINT).
M3L_NEW_361,Win the E.,COO,DRY,WAG,BEE,RAC,E,The missing letters are RAC (RACE).
M3L_NEW_362,Dog CE.,PAD,HAS,RAD,AGE,ZOO,B,The missing letters are HAS (CHASE).
M3L_NEW_363,Ball CH.,HIT,AID,PET,CAT,OLD,D,The missing letters are CAT (CATCH).
M3L_NEW_364,Ball TW.,HOT,NAG,HRO,ASK,ONE,C,The missing letters are HRO (THROW).
M3L_NEW_365,Ball P.,IVE,RED,ATE,ASS,ILL,D,The missing letters are ASS (PASS).
M3L_NEW_366,Goal ST.,BET,RAG,NOT,HOO,LAY,D,The missing letters are HOO (SHOOT).
M3L_NEW_367,Goal RE.,ORE,THE,SCO,MOO,MAT,C,The missing letters are SCO (SCORE).
M3L_NEW_368,We E.,OPT,LOS,JAY,OUT,NOT,B,The missing letters are LOS (LOSE).
M3L_NEW_369,We W.,DRA,RAD,BIT,LAD,ROT,A,The missing letters are DRA (DRAW).
M3L_NEW_370,Go Y.,VET,APE,OAK,PLA,YAK,D,The missing letters are PLA (PLAY).
M3L_NEW_371,Fun G.,PRY,WET,RAT,AME,JAG,D,The missing letters are AME (GAME).
M3L_NEW_372,Team ST.,POR,SAD,SET,SHY,OWL,A,The missing letters are POR (SPORT).
M3L_NEW_373,My M.,SEE,TEA,BAY,NET,THY,B,The missing letters are TEA (TEAM).
M3L_NEW_374,Join C.,ARM,LUB,MY,OLD,MAG,B,The missing letters are LUB (CLUB).
M3L_NEW_375,Team AD.,SQU,NEW,MAN,BOO,ZOO,A,The missing letters are SQU (SQUAD).
M3L_NEW_376,Small GR.,SUN,MAT,OUP,AIM,RAD,C,The missing letters are OUP (GROUP).
M3L_NEW_377,Big WD.,CRO,COO,HIT,BY,AND,A,The missing letters are CRO (CROWD).
M3L_NEW_378,Street G.,VET,ION,SAD,ANG,ZOO,D,The missing letters are ANG (GANG).
M3L_NEW_379,Ship C.,AIM,REW,DOT,MAT,LAG,B,The missing letters are REW (CREW).
M3L_NEW_380,Office ST.,AID,DAD,BY,USE,AFF,E,The missing letters are AFF (STAFF).
M3L_NEW_381,School SS.,CLA,BOO,OAR,RED,NOT,A,The missing letters are CLA (CLASS).
M3L_NEW_382,Good PU.,IRE,LET,PAY,PIL,DAD,D,The missing letters are PIL (PUPIL).
