"Question,OptionA,OptionB,OptionC,OptionD,OptionE,Correct Answer,Difficulty"
"Find the SYNONYMS: (SHIRT PAPER FAST) | (QUICK PEN CLOTHES),FAST-QUICK,PAPER-PEN,SHIRT-CLOTHES,FAST-PEN,PAPER-QUICK,FAST-QUICK,Level 1"
"Find the ANTONYMS: (PAPER BED FAT) | (THIN SLEEP PEN),FAT-THIN,BED-SLEEP,PAPER-PEN,FAT-SLEEP,BED-THIN,FAT-THIN,Level 1"
"Find the ANTONYMS: (SOFA PAPER FAMOUS) | (UNKNOWN PEN CHAIR),FAMOUS-UNKNOWN,PAPER-PEN,SOFA-CHAIR,FAMOUS-PEN,PAPER-UNKNOWN,FAMOUS-UNKNOWN,Level 2"
"Find the ANTONYMS: (SOFA RADIO FEAST) | (FAMINE SOUND CHAIR),FEAST-FAMINE,RADIO-SOUND,SOFA-CHAIR,FEAST-SOUND,RADIO-FAMINE,FEAST-FAMINE,Level 3"
"Find the SYNONYMS: (PENCIL RADIO ENCHANT) | (SOUND CHARM WRITE),ENCHANT-CHARM,RADIO-SOUND,PENCIL-WRITE,ENCHANT-SOUND,RADIO-CHARM,ENCHANT-CHARM,Level 3"
"Find the ANTONYMS: (RADIO TREE FAST) | (LEAF SLOW SOUND),FAST-SLOW,TREE-LEAF,RADIO-SOUND,FAST-LEAF,TREE-SLOW,FAST-SLOW,Level 1"
"Find the SYNONYMS: (DESK FORK ENVY) | (JEALOUSY KNIFE CHAIR),ENVY-JEALOUSY,FORK-KNIFE,DESK-CHAIR,ENVY-KNIFE,FORK-JEALOUSY,ENVY-JEALOUSY,Level 2"
"Find the SYNONYMS: (DESK SOFA ESCAPE) | (CHAIR FLEE SEAT),ESCAPE-FLEE,SOFA-SEAT,DESK-CHAIR,ESCAPE-SEAT,SOFA-FLEE,ESCAPE-FLEE,Level 2"
"Find the ANTONYMS: (CUP PIG FEEBLE) | (STRONG ANIMAL PLATE),FEEBLE-STRONG,PIG-ANIMAL,CUP-PLATE,FEEBLE-ANIMAL,PIG-STRONG,FEEBLE-STRONG,Level 2"
"Find the SYNONYMS: (FORK HAT ENTIRE) | (CAP WHOLE KNIFE),ENTIRE-WHOLE,HAT-CAP,FORK-KNIFE,ENTIRE-CAP,HAT-WHOLE,ENTIRE-WHOLE,Level 2"
"Find the SYNONYMS: (DESK TREE DAWN) | (CHAIR LEAF SUNRISE),DAWN-SUNRISE,TREE-LEAF,DESK-CHAIR,DAWN-LEAF,TREE-SUNRISE,DAWN-SUNRISE,Level 2"
"Find the SYNONYMS: (PIG PAPER DISCOVER) | (PEN FIND ANIMAL),DISCOVER-FIND,PAPER-PEN,PIG-ANIMAL,DISCOVER-PEN,PAPER-FIND,DISCOVER-FIND,Level 2"
"Find the SYNONYMS: (BED DESK DISASTER) | (CALAMITY CHAIR SLEEP),DISASTER-CALAMITY,DESK-CHAIR,BED-SLEEP,DISASTER-CHAIR,DESK-CALAMITY,DISASTER-CALAMITY,Level 3"
"Find the SYNONYMS: (DESK FORK DORMANT) | (INACTIVE KNIFE CHAIR),DORMANT-INACTIVE,FORK-KNIFE,DESK-CHAIR,DORMANT-KNIFE,FORK-INACTIVE,DORMANT-INACTIVE,Level 3"
"Find the ANTONYMS: (CUP PAPER FEMALE) | (MALE PEN PLATE),FEMALE-MALE,PAPER-PEN,CUP-PLATE,FEMALE-PEN,PAPER-MALE,FEMALE-MALE,Level 1"
"Find the SYNONYMS: (PAPER CUP DURABLE) | (LASTING PLATE PEN),DURABLE-LASTING,CUP-PLATE,PAPER-PEN,DURABLE-PLATE,CUP-LASTING,DURABLE-LASTING,Level 3"
"Find the SYNONYMS: (HAT FORK DRAB) | (DULL KNIFE CAP),DRAB-DULL,FORK-KNIFE,HAT-CAP,DRAB-KNIFE,FORK-DULL,DRAB-DULL,Level 2"
"Find the ANTONYMS: (PAPER SHIRT FERTILITY) | (BARRENNESS PEN CLOTHES),FERTILITY-BARRENNESS,SHIRT-CLOTHES,PAPER-PEN,FERTILITY-CLOTHES,SHIRT-BARRENNESS,FERTILITY-BARRENNESS,Level 3"
"Find the SYNONYMS: (CUP HAT DRAMATIC) | (THEATRICAL PLATE CAP),DRAMATIC-THEATRICAL,HAT-CAP,CUP-PLATE,DRAMATIC-CAP,HAT-THEATRICAL,DRAMATIC-THEATRICAL,Level 2"
"Find the SYNONYMS: (KING FORK DRENCH) | (SOAK KNIFE QUEEN),DRENCH-SOAK,FORK-KNIFE,KING-QUEEN,DRENCH-KNIFE,FORK-SOAK,DRENCH-SOAK,Level 2"
"Find the ANTONYMS: (HAT BED FEW) | (MANY SLEEP CAP),FEW-MANY,BED-SLEEP,HAT-CAP,FEW-SLEEP,BED-MANY,FEW-MANY,Level 1"
"Find the SYNONYMS: (SHIRT PAPER DREADFUL) | (TERRIBLE CLOTHES PEN),DREADFUL-TERRIBLE,PAPER-PEN,SHIRT-CLOTHES,DREADFUL-CLOTHES,PAPER-TERRIBLE,DREADFUL-TERRIBLE,Level 2"
"Find the ANTONYMS: (RADIO PIG FICTION) | (FACT SOUND ANIMAL),FICTION-FACT,PIG-ANIMAL,RADIO-SOUND,FICTION-ANIMAL,PIG-FACT,FICTION-FACT,Level 2"
"Find the SYNONYMS: (CUP PENCIL DRESS) | (CLOTHING PLATE WRITE),DRESS-CLOTHING,PENCIL-WRITE,CUP-PLATE,DRESS-WRITE,PENCIL-CLOTHING,DRESS-CLOTHING,Level 1"
"Find the SYNONYMS: (PENCIL DESK DROWSY) | (SLEEPY WRITE CHAIR),DROWSY-SLEEPY,DESK-CHAIR,PENCIL-WRITE,DROWSY-CHAIR,DESK-SLEEPY,DROWSY-SLEEPY,Level 2"
"Find the ANTONYMS: (SHIRT PIG FIERCE) | (GENTLE CLOTHES ANIMAL),FIERCE-GENTLE,PIG-ANIMAL,SHIRT-CLOTHES,FIERCE-ANIMAL,PIG-GENTLE,FIERCE-GENTLE,Level 2"
"Find the ANTONYMS: (BED DESK FIGHT) | (SURRENDER SLEEP CHAIR),FIGHT-SURRENDER,DESK-CHAIR,BED-SLEEP,FIGHT-CHAIR,DESK-SURRENDER,FIGHT-SURRENDER,Level 2"
"Find the ANTONYMS: (FORK HAT FILL) | (EMPTY KNIFE CAP),FILL-EMPTY,HAT-CAP,FORK-KNIFE,FILL-KNIFE,HAT-EMPTY,FILL-EMPTY,Level 1"
"Find the ANTONYMS: (KING TREE FILTHY) | (CLEAN QUEEN LEAF),FILTHY-CLEAN,TREE-LEAF,KING-QUEEN,FILTHY-LEAF,TREE-CLEAN,FILTHY-CLEAN,Level 2"
"Find the ANTONYMS: (CUP PAPER FINAL) | (FIRST PLATE PEN),FINAL-FIRST,PAPER-PEN,CUP-PLATE,FINAL-PLATE,PAPER-FIRST,FINAL-FIRST,Level 1"
"Find the SYNONYMS: (DESK FORK EARNEST) | (SINCERE CHAIR KNIFE),EARNEST-SINCERE,FORK-KNIFE,DESK-CHAIR,EARNEST-KNIFE,FORK-SINCERE,EARNEST-SINCERE,Level 2"
"Find the ANTONYMS: (KING BED FIND) | (LOSE SLEEP QUEEN),FIND-LOSE,BED-SLEEP,KING-QUEEN,FIND-SLEEP,BED-LOSE,FIND-LOSE,Level 1"
"Find the SYNONYMS: (RADIO TREE DULL) | (BORING LEAF SOUND),DULL-BORING,TREE-LEAF,RADIO-SOUND,DULL-LEAF,TREE-BORING,DULL-BORING,Level 2"
"Find the ANTONYMS: (SHIRT SOFA FINE) | (COARSE CLOTHES CHAIR),FINE-COARSE,SOFA-CHAIR,SHIRT-CLOTHES,FINE-CHAIR,SOFA-COARSE,FINE-COARSE,Level 2"
"Find the ANTONYMS: (CUP RADIO FINISH) | (START PLATE SOUND),FINISH-START,RADIO-SOUND,CUP-PLATE,FINISH-SOUND,RADIO-START,FINISH-START,Level 1"
"Find the ANTONYMS: (BED SHIRT FIRM) | (SOFT SLEEP CLOTHES),FIRM-SOFT,SHIRT-CLOTHES,BED-SLEEP,FIRM-CLOTHES,SHIRT-SOFT,FIRM-SOFT,Level 2"
"Find the SYNONYMS: (PAPER BED DUSK) | (TWILIGHT PEN SLEEP),DUSK-TWILIGHT,BED-SLEEP,PAPER-PEN,DUSK-SLEEP,BED-TWILIGHT,DUSK-TWILIGHT,Level 3"
"Find the ANTONYMS: (TREE KING FIRST) | (LAST LEAF QUEEN),FIRST-LAST,KING-QUEEN,TREE-LEAF,FIRST-QUEEN,KING-LAST,FIRST-LAST,Level 1"
"Find the SYNONYMS: (PENCIL SHIRT DUTY) | (OBLIGATION WRITE CLOTHES),DUTY-OBLIGATION,SHIRT-CLOTHES,PENCIL-WRITE,DUTY-CLOTHES,SHIRT-OBLIGATION,DUTY-OBLIGATION,Level 2"
"Find the SYNONYMS: (FORK HAT EAGER) | (KEEN CAP KNIFE),EAGER-KEEN,HAT-CAP,FORK-KNIFE,EAGER-CAP,HAT-KEEN,EAGER-KEEN,Level 2"
"Find the SYNONYMS: (PAPER RADIO EARLY) | (PREMATURE PEN SOUND),EARLY-PREMATURE,RADIO-SOUND,PAPER-PEN,EARLY-SOUND,RADIO-PREMATURE,EARLY-PREMATURE,Level 2"
"Find the ANTONYMS: (KING FORK FIX) | (BREAK QUEEN KNIFE),FIX-BREAK,FORK-KNIFE,KING-QUEEN,FIX-KNIFE,FORK-BREAK,FIX-BREAK,Level 1"
"Find the ANTONYMS: (DESK TREE FLAT) | (HILLY CHAIR LEAF),FLAT-HILLY,TREE-LEAF,DESK-CHAIR,FLAT-CHAIR,DESK-HILLY,FLAT-HILLY,Level 2"
"Find the SYNONYMS: (SHIRT PIG EARN) | (GAIN CLOTHES ANIMAL),EARN-GAIN,PIG-ANIMAL,SHIRT-CLOTHES,EARN-ANIMAL,PIG-GAIN,EARN-GAIN,Level 1"
"Find the ANTONYMS: (HAT PENCIL FLATTER) | (INSULT CAP WRITE),FLATTER-INSULT,PENCIL-WRITE,HAT-CAP,FLATTER-WRITE,PENCIL-INSULT,FLATTER-INSULT,Level 3"
"Find the ANTONYMS: (PIG SOFA FLEXIBLE) | (RIGID ANIMAL CHAIR),FLEXIBLE-RIGID,SOFA-CHAIR,PIG-ANIMAL,FLEXIBLE-CHAIR,SOFA-RIGID,FLEXIBLE-RIGID,Level 3"
"Find the ANTONYMS: (RADIO TREE FLOAT) | (SINK SOUND LEAF),FLOAT-SINK,TREE-LEAF,RADIO-SOUND,FLOAT-LEAF,TREE-SINK,FLOAT-SINK,Level 1"
"Find the SYNONYMS: (KING CUP EASE) | (COMFORT QUEEN PLATE),EASE-COMFORT,CUP-PLATE,KING-QUEEN,EASE-PLATE,CUP-COMFORT,EASE-COMFORT,Level 2"
"Find the ANTONYMS: (FORK PAPER FLOOR) | (CEILING KNIFE PEN),FLOOR-CEILING,PAPER-PEN,FORK-KNIFE,FLOOR-PEN,PAPER-CEILING,FLOOR-CEILING,Level 2"
"Find the SYNONYMS: (HAT PENCIL ECCENTRIC) | (ODD CAP WRITE),ECCENTRIC-ODD,PENCIL-WRITE,HAT-CAP,ECCENTRIC-WRITE,PENCIL-ODD,ECCENTRIC-ODD,Level 3"
"Find the SYNONYMS: (DESK BED ECONOMICAL) | (THRIFTY SLEEP CHAIR),ECONOMICAL-THRIFTY,BED-SLEEP,DESK-CHAIR,ECONOMICAL-CHAIR,DESK-THRIFTY,ECONOMICAL-THRIFTY,Level 3"
"Find the ANTONYMS: (CUP KING FLOURISH) | (WITHER PLATE QUEEN),FLOURISH-WITHER,KING-QUEEN,CUP-PLATE,FLOURISH-QUEEN,KING-WITHER,FLOURISH-WITHER,Level 3"
"Find the ANTONYMS: (SHIRT SOFA FLOW) | (STAGNATE CLOTHES CHAIR),FLOW-STAGNATE,SOFA-CHAIR,SHIRT-CLOTHES,FLOW-CHAIR,SOFA-STAGNATE,FLOW-STAGNATE,Level 3"
"Find the ANTONYMS: (PIG BED FLUID) | (SOLID SLEEP ANIMAL),FLUID-SOLID,BED-SLEEP,PIG-ANIMAL,FLUID-SLEEP,BED-SOLID,FLUID-SOLID,Level 2"
"Find the ANTONYMS: (RADIO PAPER FLY) | (WALK PEN SOUND),FLY-WALK,PAPER-PEN,RADIO-SOUND,FLY-PEN,PAPER-WALK,FLY-WALK,Level 1"
"Find the SYNONYMS: (CUP SHIRT EDGE) | (BORDER CLOTHES PLATE),EDGE-BORDER,SHIRT-CLOTHES,CUP-PLATE,EDGE-CLOTHES,SHIRT-BORDER,EDGE-BORDER,Level 2"
"Find the ANTONYMS: (FORK HAT FOE) | (FRIEND CAP KNIFE),FOE-FRIEND,HAT-CAP,FORK-KNIFE,FOE-CAP,HAT-FRIEND,FOE-FRIEND,Level 1"
"Find the ANTONYMS: (DESK BED FOG) | (CLEAR SLEEP CHAIR),FOG-CLEAR,BED-SLEEP,DESK-CHAIR,FOG-SLEEP,BED-CLEAR,FOG-CLEAR,Level 2"
"Find the ANTONYMS: (TREE KING FOLD) | (UNFOLD QUEEN LEAF),FOLD-UNFOLD,KING-QUEEN,TREE-LEAF,FOLD-QUEEN,KING-UNFOLD,FOLD-UNFOLD,Level 2"
"Find the SYNONYMS: (HAT FORK EFFECT) | (RESULT KNIFE CAP),EFFECT-RESULT,FORK-KNIFE,HAT-CAP,EFFECT-KNIFE,FORK-RESULT,EFFECT-RESULT,Level 2"
"Find the SYNONYMS: (PIG SOFA EFFICIENT) | (EFFECTIVE CHAIR ANIMAL),EFFICIENT-EFFECTIVE,SOFA-CHAIR,PIG-ANIMAL,EFFICIENT-CHAIR,SOFA-EFFECTIVE,EFFICIENT-EFFECTIVE,Level 2"
"Find the ANTONYMS: (CUP SHIRT FOLLOW) | (LEAD CLOTHES PLATE),FOLLOW-LEAD,SHIRT-CLOTHES,CUP-PLATE,FOLLOW-CLOTHES,SHIRT-LEAD,FOLLOW-LEAD,Level 2"
"Find the SYNONYMS: (PENCIL RADIO EFFORT) | (ATTEMPT WRITE SOUND),EFFORT-ATTEMPT,RADIO-SOUND,PENCIL-WRITE,EFFORT-WRITE,PENCIL-ATTEMPT,EFFORT-ATTEMPT,Level 2"
"Find the SYNONYMS: (DESK PIG ELABORATE) | (DETAILED ANIMAL CHAIR),ELABORATE-DETAILED,PIG-ANIMAL,DESK-CHAIR,ELABORATE-ANIMAL,PIG-DETAILED,ELABORATE-DETAILED,Level 3"
"Find the ANTONYMS: (TREE FORK FOLLY) | (WISDOM LEAF KNIFE),FOLLY-WISDOM,FORK-KNIFE,TREE-LEAF,FOLLY-KNIFE,FORK-WISDOM,FOLLY-WISDOM,Level 3"
"Find the ANTONYMS: (HAT BED FOND) | (HOSTILE SLEEP CAP),FOND-HOSTILE,BED-SLEEP,HAT-CAP,FOND-SLEEP,BED-HOSTILE,FOND-HOSTILE,Level 2"
"Find the SYNONYMS: (KING CUP ELDERLY) | (OLD PLATE QUEEN),ELDERLY-OLD,CUP-PLATE,KING-QUEEN,ELDERLY-PLATE,CUP-OLD,ELDERLY-OLD,Level 1"
"Find the SYNONYMS: (PAPER SOFA ELECT) | (CHOOSE PEN CHAIR),ELECT-CHOOSE,SOFA-CHAIR,PAPER-PEN,ELECT-CHAIR,SOFA-CHOOSE,ELECT-CHOOSE,Level 2"
"Find the ANTONYMS: (SHIRT PENCIL FOOL) | (SAGE CLOTHES WRITE),FOOL-SAGE,PENCIL-WRITE,SHIRT-CLOTHES,FOOL-WRITE,PENCIL-SAGE,FOOL-SAGE,Level 3"
"Find the SYNONYMS: (RADIO TREE ELEGANT) | (GRACEFUL SOUND LEAF),ELEGANT-GRACEFUL,TREE-LEAF,RADIO-SOUND,ELEGANT-LEAF,TREE-GRACEFUL,ELEGANT-GRACEFUL,Level 3"
"Find the ANTONYMS: (DESK FORK FOOLISH) | (WISE KNIFE CHAIR),FOOLISH-WISE,FORK-KNIFE,DESK-CHAIR,FOOLISH-KNIFE,FORK-WISE,FOOLISH-WISE,Level 2"
"Find the SYNONYMS: (BED PIG ELEMENTARY) | (BASIC SLEEP ANIMAL),ELEMENTARY-BASIC,PIG-ANIMAL,BED-SLEEP,ELEMENTARY-ANIMAL,PIG-BASIC,ELEMENTARY-BASIC,Level 2"
"Find the ANTONYMS: (HAT KING FORBID) | (ALLOW CAP QUEEN),FORBID-ALLOW,KING-QUEEN,HAT-CAP,FORBID-QUEEN,KING-ALLOW,FORBID-ALLOW,Level 2"
"Find the SYNONYMS: (CUP SHIRT ELIMINATE) | (REMOVE PLATE CLOTHES),ELIMINATE-REMOVE,SHIRT-CLOTHES,CUP-PLATE,ELIMINATE-CLOTHES,SHIRT-REMOVE,ELIMINATE-REMOVE,Level 2"
"Find the ANTONYMS: (SOFA PAPER FORCE) | (PERSUADE CHAIR PEN),FORCE-PERSUADE,PAPER-PEN,SOFA-CHAIR,FORCE-PEN,PAPER-PERSUADE,FORCE-PERSUADE,Level 2"
"Find the SYNONYMS: (PENCIL RADIO EMBARRASS) | (HUMILIATE SOUND WRITE),EMBARRASS-HUMILIATE,RADIO-SOUND,PENCIL-WRITE,EMBARRASS-SOUND,RADIO-HUMILIATE,EMBARRASS-HUMILIATE,Level 3"
"Find the ANTONYMS: (TREE DESK FOREIGN) | (NATIVE CHAIR LEAF),FOREIGN-NATIVE,DESK-CHAIR,TREE-LEAF,FOREIGN-CHAIR,DESK-NATIVE,FOREIGN-NATIVE,Level 2"
"Find the SYNONYMS: (BED FORK EMERGENCY) | (CRISIS KNIFE SLEEP),EMERGENCY-CRISIS,FORK-KNIFE,BED-SLEEP,EMERGENCY-KNIFE,FORK-CRISIS,EMERGENCY-CRISIS,Level 2"
"Find the SYNONYMS: (PIG HAT EMINENT) | (FAMOUS CAP ANIMAL),EMINENT-FAMOUS,HAT-CAP,PIG-ANIMAL,EMINENT-CAP,HAT-FAMOUS,EMINENT-FAMOUS,Level 2"
"Find the ANTONYMS: (KING CUP FOREST) | (DESERT PLATE QUEEN),FOREST-DESERT,CUP-PLATE,KING-QUEEN,FOREST-PLATE,CUP-DESERT,FOREST-DESERT,Level 2"
"Find the ANTONYMS: (SHIRT SOFA FORGET) | (REMEMBER CLOTHES CHAIR),FORGET-REMEMBER,SOFA-CHAIR,SHIRT-CLOTHES,FORGET-CHAIR,SOFA-REMEMBER,FORGET-REMEMBER,Level 1"
"Find the SYNONYMS: (PAPER RADIO EMIT) | (RELEASE PEN SOUND),EMIT-RELEASE,RADIO-SOUND,PAPER-PEN,EMIT-PEN,PAPER-RELEASE,EMIT-RELEASE,Level 2"
"Find the SYNONYMS: (DESK TREE EMOTION) | (FEELING LEAF CHAIR),EMOTION-FEELING,TREE-LEAF,DESK-CHAIR,EMOTION-LEAF,TREE-FEELING,EMOTION-FEELING,Level 2"
"Find the ANTONYMS: (PENCIL BED FORGIVE) | (BLAME WRITE SLEEP),FORGIVE-BLAME,BED-SLEEP,PENCIL-WRITE,FORGIVE-SLEEP,BED-BLAME,FORGIVE-BLAME,Level 2"
"Find the SYNONYMS: (PIG FORK EMPHASIZE) | (STRESS ANIMAL KNIFE),EMPHASIZE-STRESS,FORK-KNIFE,PIG-ANIMAL,EMPHASIZE-KNIFE,FORK-STRESS,EMPHASIZE-STRESS,Level 2"
"Find the ANTONYMS: (HAT KING FORMAL) | (INFORMAL CAP QUEEN),FORMAL-INFORMAL,KING-QUEEN,HAT-CAP,FORMAL-QUEEN,KING-INFORMAL,FORMAL-INFORMAL,Level 2"
"Find the SYNONYMS: (CUP SHIRT EMPLOY) | (HIRE CLOTHES PLATE),EMPLOY-HIRE,SHIRT-CLOTHES,CUP-PLATE,EMPLOY-CLOTHES,SHIRT-HIRE,EMPLOY-HIRE,Level 2"
"Find the ANTONYMS: (SOFA PAPER FORMER) | (LATTER CHAIR PEN),FORMER-LATTER,PAPER-PEN,SOFA-CHAIR,FORMER-PEN,PAPER-LATTER,FORMER-LATTER,Level 2"
"Find the ANTONYMS: (RADIO TREE FORTUNATE) | (UNLUCKY SOUND LEAF),FORTUNATE-UNLUCKY,TREE-LEAF,RADIO-SOUND,FORTUNATE-LEAF,TREE-UNLUCKY,FORTUNATE-UNLUCKY,Level 2"
"Find the SYNONYMS: (DESK BED EMPTY) | (VACANT SLEEP CHAIR),EMPTY-VACANT,BED-SLEEP,DESK-CHAIR,EMPTY-SLEEP,BED-VACANT,EMPTY-VACANT,Level 2"
"Find the ANTONYMS: (PIG FORK FORWARD) | (BACKWARD KNIFE ANIMAL),FORWARD-BACKWARD,FORK-KNIFE,PIG-ANIMAL,FORWARD-KNIFE,FORK-BACKWARD,FORWARD-BACKWARD,Level 1"
"Find the SYNONYMS: (PENCIL HAT ENCHANT) | (CHARM CAP WRITE),ENCHANT-CHARM,HAT-CAP,PENCIL-WRITE,ENCHANT-CAP,HAT-CHARM,ENCHANT-CHARM,Level 3"
"Find the SYNONYMS: (KING CUP ENCOURAGE) | (INSPIRE QUEEN PLATE),ENCOURAGE-INSPIRE,CUP-PLATE,KING-QUEEN,ENCOURAGE-PLATE,CUP-INSPIRE,ENCOURAGE-INSPIRE,Level 2"
"Find the ANTONYMS: (SHIRT SOFA FOUL) | (FAIR CLOTHES CHAIR),FOUL-FAIR,SOFA-CHAIR,SHIRT-CLOTHES,FOUL-CHAIR,SOFA-FAIR,FOUL-FAIR,Level 2"
"Find the SYNONYMS: (PAPER RADIO END) | (FINISH PEN SOUND),END-FINISH,RADIO-SOUND,PAPER-PEN,END-PEN,PAPER-FINISH,END-FINISH,Level 1"
"Find the ANTONYMS: (TREE DESK FOUND) | (LOST LEAF CHAIR),FOUND-LOST,DESK-CHAIR,TREE-LEAF,FOUND-CHAIR,DESK-LOST,FOUND-LOST,Level 1"
"Find the SYNONYMS: (BED PIG ENDURE) | (LAST ANIMAL SLEEP),ENDURE-LAST,PIG-ANIMAL,BED-SLEEP,ENDURE-ANIMAL,PIG-LAST,ENDURE-LAST,Level 2"
"Find the ANTONYMS: (FORK HAT FRAGILE) | (TOUGH KNIFE CAP),FRAGILE-TOUGH,HAT-CAP,FORK-KNIFE,FRAGILE-CAP,HAT-TOUGH,FRAGILE-TOUGH,Level 2"
"Find the SYNONYMS: (CUP SHIRT ENEMY) | (FOE CLOTHES PLATE),ENEMY-FOE,SHIRT-CLOTHES,CUP-PLATE,ENEMY-CLOTHES,SHIRT-FOE,ENEMY-FOE,Level 2"
"Find the ANTONYMS: (PENCIL KING FRAGMENT) | (WHOLE WRITE QUEEN),FRAGMENT-WHOLE,KING-QUEEN,PENCIL-WRITE,FRAGMENT-QUEEN,KING-WHOLE,FRAGMENT-WHOLE,Level 2"
"Find the SYNONYMS: (SOFA PAPER ENERGETIC) | (ACTIVE CHAIR PEN),ENERGETIC-ACTIVE,PAPER-PEN,SOFA-CHAIR,ENERGETIC-PEN,PAPER-ACTIVE,ENERGETIC-ACTIVE,Level 2"
"Find the ANTONYMS: (RADIO TREE FRAGRANT) | (STINKY LEAF SOUND),FRAGRANT-STINKY,TREE-LEAF,RADIO-SOUND,FRAGRANT-LEAF,TREE-STINKY,FRAGRANT-STINKY,Level 2"
"Find the SYNONYMS: (DESK BED ENFORCE) | (IMPOSE SLEEP CHAIR),ENFORCE-IMPOSE,BED-SLEEP,DESK-CHAIR,ENFORCE-SLEEP,BED-IMPOSE,ENFORCE-IMPOSE,Level 3"
"Find the ANTONYMS: (PIG FORK FRAIL) | (STRONG ANIMAL KNIFE),FRAIL-STRONG,FORK-KNIFE,PIG-ANIMAL,FRAIL-KNIFE,FORK-STRONG,FRAIL-STRONG,Level 2"
"Find the SYNONYMS: (HAT KING ENGAGE) | (OCCUPY CAP QUEEN),ENGAGE-OCCUPY,KING-QUEEN,HAT-CAP,ENGAGE-QUEEN,KING-OCCUPY,ENGAGE-OCCUPY,Level 2"
"Find the ANTONYMS: (SHIRT CUP FRANK) | (SECRETIVE PLATE CLOTHES),FRANK-SECRETIVE,CUP-PLATE,SHIRT-CLOTHES,FRANK-PLATE,CUP-SECRETIVE,FRANK-SECRETIVE,Level 3"
"Find the SYNONYMS: (PENCIL SOFA ENJOY) | (LIKE CHAIR WRITE),ENJOY-LIKE,SOFA-CHAIR,PENCIL-WRITE,ENJOY-CHAIR,SOFA-LIKE,ENJOY-LIKE,Level 1"
"Find the SYNONYMS: (PAPER RADIO ENLARGE) | (EXPAND PEN SOUND),ENLARGE-EXPAND,RADIO-SOUND,PAPER-PEN,ENLARGE-PEN,PAPER-EXPAND,ENLARGE-EXPAND,Level 1"
"Find the ANTONYMS: (TREE DESK FRANTIC) | (CALM LEAF CHAIR),FRANTIC-CALM,DESK-CHAIR,TREE-LEAF,FRANTIC-CHAIR,DESK-CALAMITY,FRANTIC-CALM,Level 2"
"Find the SYNONYMS: (BED FORK ENORMOUS) | (HUGE SLEEP KNIFE),ENORMOUS-HUGE,FORK-KNIFE,BED-SLEEP,ENORMOUS-KNIFE,FORK-HUGE,ENORMOUS-HUGE,Level 2"
"Find the ANTONYMS: (PIG HAT FREE) | (BOUND CAP ANIMAL),FREE-BOUND,HAT-CAP,PIG-ANIMAL,FREE-CAP,HAT-BOUND,FREE-BOUND,Level 1"
"Find the SYNONYMS: (CUP SHIRT ENOUGH) | (SUFFICIENT CLOTHES PLATE),ENOUGH-SUFFICIENT,SHIRT-CLOTHES,CUP-PLATE,ENOUGH-CLOTHES,SHIRT-SUFFICIENT,ENOUGH-SUFFICIENT,Level 2"
"Find the ANTONYMS: (KING SOFA FREEZE) | (MELT CHAIR QUEEN),FREEZE-MELT,SOFA-CHAIR,KING-QUEEN,FREEZE-CHAIR,SOFA-MELT,FREEZE-MELT,Level 2"
"Find the SYNONYMS: (PENCIL RADIO ENRAGE) | (ANGER WRITE SOUND),ENRAGE-ANGER,RADIO-SOUND,PENCIL-WRITE,ENRAGE-SOUND,RADIO-ANGER,ENRAGE-ANGER,Level 2"
"Find the ANTONYMS: (PAPER TREE FREQUENT) | (RARE PEN LEAF),FREQUENT-RARE,TREE-LEAF,PAPER-PEN,FREQUENT-PEN,PAPER-RARE,FREQUENT-RARE,Level 2"
"Find the SYNONYMS: (DESK BED ENTIRE) | (WHOLE CHAIR SLEEP),ENTIRE-WHOLE,BED-SLEEP,DESK-CHAIR,ENTIRE-SLEEP,BED-WHOLE,ENTIRE-WHOLE,Level 2"
"Find the ANTONYMS: (FORK PIG FRESH) | (STALE KNIFE ANIMAL),FRESH-STALE,PIG-ANIMAL,FORK-KNIFE,FRESH-ANIMAL,PIG-STALE,FRESH-STALE,Level 1"
"Find the SYNONYMS: (HAT KING ENTRANCE) | (ENTRY CAP QUEEN),ENTRANCE-ENTRY,KING-QUEEN,HAT-CAP,ENTRANCE-CAP,HAT-ENTRY,ENTRANCE-ENTRY,Level 2"
"Find the ANTONYMS: (CUP SHIRT FRIEND) | (ENEMY PLATE CLOTHES),FRIEND-ENEMY,SHIRT-CLOTHES,CUP-PLATE,FRIEND-CLOTHES,SHIRT-ENEMY,FRIEND-ENEMY,Level 1"
"Find the SYNONYMS: (SOFA RADIO ENVY) | (JEALOUSY SOUND CHAIR),ENVY-JEALOUSY,RADIO-SOUND,SOFA-CHAIR,ENVY-SOUND,RADIO-JEALOUSY,ENVY-JEALOUSY,Level 2"
"Find the ANTONYMS: (PAPER TREE FRIGHT) | (COURAGE LEAF PEN),FRIGHT-COURAGE,TREE-LEAF,PAPER-PEN,FRIGHT-PEN,PAPER-COURAGE,FRIGHT-COURAGE,Level 2"
"Find the SYNONYMS: (BED PENCIL EQUAL) | (SAME WRITE SLEEP),EQUAL-SAME,PENCIL-WRITE,BED-SLEEP,EQUAL-WRITE,PENCIL-SAME,EQUAL-SAME,Level 1"
"Find the ANTONYMS: (DESK PIG FRONT) | (BACK CHAIR ANIMAL),FRONT-BACK,PIG-ANIMAL,DESK-CHAIR,FRONT-ANIMAL,PIG-BACK,FRONT-BACK,Level 1"
